topic_id,topic_name,size
-1,-1_hon_government_right_friend,31940
0,0_energy_fuel_gas_wind,2533
1,1_european_eurozone_eu_union,1673
2,2_scotland_scottish_referendum_snp,1089
3,3_bank_banks_banking_financial,1083
4,4_ireland_northern_irish_belfast,811
5,5_police_policing_crime_officers,809
6,6_pension_pensions_pensioners_schemes,637
7,7_israel_palestinian_israeli_palestinians,619
8,8_electoral_registration_register_vote,575
9,9_disabled_disability_assessment_atos,557
10,10_rail_network_fares_train,542
11,11_prison_prisoners_prisons_sentencing,482
12,12_alcohol_pubs_beer_pub,449
13,13_syria_syrian_russia_assad,437
14,14_unemployment_youth_young_unemployed,430
15,15_housing_homelessness_homes_affordable,388
16,16_gentleman_lady_give_gentlemans,381
17,17_speaker_order_mr_deputy,379
18,18_students_universities_university_postgraduate,362
19,19_lords_elected_chamber_reform,347
20,20_afghanistan_afghan_taliban_troops,335
21,21_leveson_press_lord_levesons,334
22,22_regiment_army_battalion_forces,324
23,23_give_way_minister_snuggling,323
24,24_iran_nuclear_iranian_sanctions,305
25,25_schools_school_pupil_academies,296
26,26_water_thames_tunnel_sewage,274
27,27_give_gentleman_way_hon,272
28,28_apprenticeships_apprenticeship_apprentices_apprentice,267
29,29_court_rights_human_european,266
30,30_cattle_tb_badgers_cull,260
31,31_metal_theft_scrap_dealers,258
32,32_town_parking_centres_shops,250
33,33_adviser_prime_adam_secretary,245
34,34_welsh_wales_assembly_language,235
35,35_flood_flooding_floods_insurance,232
36,36_nhs_patients_nurses_hospitals,219
37,37_church_bishops_synod_women,218
38,38_marriage_samesex_religious_marriages,211
39,39_cancer_radiotherapy_survival_cancers,211
40,40_charities_gift_donations_charity,209
41,41_child_benefit_income_60000,208
42,42_fishing_fisheries_fish_fishermen,205
43,43_sexual_exploitation_abuse_children,200
44,44_olympic_games_olympics_paralympics,198
45,45_mental_health_illness_depression,194
46,46_avoidance_tax_evasion_hmrc,194
47,47_pay_regional_sector_public,184
48,48_friend_hon_point_makes,181
49,49_cycling_cyclists_cycle_helmets,176
50,50_planning_neighbourhood_framework_plans,176
51,51_violence_domestic_women_refuge,175
52,52_fire_firefighters_rescue_cuts,170
53,53_qatada_abu_deportation_jordan,168
54,54_vat_caravans_caravan_static,165
55,55_airport_airports_heathrow_gatwick,161
56,56_lady_give_way_hon,158
57,57_caa_aviation_airports_passengers,153
58,58_falkland_islands_falklands_argentina,151
59,59_give_way_friend_hon,150
60,60_broadband_superfast_rollout_megabits,150
61,61_employment_employee_tribunal_employers,146
62,62_libel_defamation_defamatory_internet,146
63,63_universal_credit_realtime_claimants,145
64,64_farmers_cap_greening_farming,144
65,65_give_gentleman_way_right,144
66,66_dogs_dog_microchipping_owners,140
67,67_compensation_victims_injuries_victim,137
68,68_football_clubs_club_league,136
69,69_borrowing_debt_billion_deficit,135
70,70_trees_ash_disease_tree,134
71,71_croatia_accession_croatian_croatias,133
72,72_backbench_committee_business_epetitions,129
73,73_hillsborough_kevin_inquest_williams,127
74,74_somalia_somaliland_somali_conference,120
75,75_youth_young_ncs_services,119
76,76_commissioning_clinical_groups_nhs,118
77,77_carers_care_social_older,117
78,78_trafficking_human_slavery_rapporteur,116
79,79_animals_animal_welfare_sheep,110
80,80_departmental_responsibilities_statement_make,109
81,81_remploy_factories_factory_workers,106
82,82_nan___,105
83,83_ecmo_unit_childrens_glenfield,105
84,84_hospital_hospitals_community_patients,100
85,85_50p_rate_45p_tax,98
86,86_burma_rohingya_burmese_bangladesh,97
87,87_turkey_turkish_cyprus_turkeys,96
88,88_finucane_prime_murder_truth,93
89,89_gcse_gcses_english_baccalaureate,93
90,90_programme_work_providers_employment,92
91,91_smes_procurement_contracts_enterprises,91
92,92_belt_green_brownfield_land,91
93,93_women_womens_female_boards,90
94,94_petition_petitioners_residents_declares,89
95,95_adoption_adopters_adoptive_baby,88
96,96_franchise_coast_franchising_main,87
97,97_claims_ppi_management_tape,87
98,98_milk_dairy_farmers_price,86
99,99_implants_cosmetic_pip_breast,85
100,100_post_dvla_office_driving,84
101,101_pfi_nhs_trusts_billion,84
102,102_antarctic_antarctica_bas_expedition,83
103,103_housing_homes_affordable_firsttime,83
104,104_adjudicator_supermarkets_groceries_code,83
105,105_foreign_secretary_commonwealth_friend,82
106,106_bonuses_bonus_bank_rbs,80
107,107_appeal_appeals_tribunals_dwp,80
108,108_infrastructure_projects_investment_plan,79
109,109_shareholders_directors_remuneration_shareholder,78
110,110_g4s_locog_security_venue,77
111,111_palliative_hospice_hospices_dying,77
112,112_local_councils_authorities_treasurers,77
113,113_give_way_member_howarth,77
114,114_unions_trade_union_facility,75
115,115_food_banks_trussell_poverty,75
116,116_veterans_mental_stress_combat,74
117,117_manufacturing_rover_jaguar_land,73
118,118_sector_jobs_private_created,71
119,119_bbc_radio_fee_licence,71
120,120_russian_magnitsky_russia_sergei,71
121,121_poverty_child_children_policies,68
122,122_give_way_briefly_finish,67
123,123_risk_registers_register_risks,67
124,124_carrier_aircraft_carriers_stovl,67
125,125_newspapers_newspaper_local_papers,67
126,126_autism_autistic_aspergers_spectrum,66
127,127_assent_indicated__,66
128,128_rwanda_drc_m23_rwandan,66
129,129_brethren_charity_plymouth_charitable,66
130,130_child_parental_care_parents,65
131,131_extradition_mckinnon_gary_home,65
132,132_give_state_secretary_way,63
133,133_family_child_court_courts,62
134,134_bus_buses_transport_darlington,62
135,135_port_ports_southampton_dover,62
136,136_harbour_pilotage_port_pec,62
137,137_india_aid_poverty_development,61
138,138_billion_figure_38_budget,60
139,139_prime_leader_house_liberal,60
140,140_crossing_bridge_congestion_dartford,60
141,141_wales_electrification_swansea_cardiff,59
142,142_immigration_article_deportation_rules,59
143,143_border_checks_vine_suspended,57
144,144_holocaust_jewish_auschwitz_memorial,56
145,145_give_way_right_friend,56
146,146_battalion_1st_corporal_join,55
147,147_pensions_ewell_grayling_epsom,55
148,148_tobacco_packaging_smoking_cigarettes,54
149,149_afghan_afghanistan_women_womens,54
150,150_rio_goals_rio20_sustainable,54
151,151_ambulance_air_ambulances_helicopter,53
152,152_ukti_investment_exporting_export,53
153,153_legal_aid_advice_bureaux,52
154,154_forensic_fss_forensics_science,52
155,155_hauliers_haulage_levy_vehicles,52
156,156_regional_fund_growth_projects,51
157,157_suicide_assisted_dpps_dying,50
158,158_gentleman_gentlemans_ccs_computers,50
159,159_yes_yesi_trepidation_sounds,49
160,160_beg_pagea_linea_amendment,49
161,161_sri_lanka_lankan_llrc,49
162,162_friends_friend_tickets_member,48
163,163_tax_rate_50p_income,47
164,164_adjudicator_code_retailers_fines,47
165,165_hot_pasty_baked_temperature,47
166,166_apd_aviation_air_passenger,47
167,167_teachers_teaching_teacher_pay,47
168,168_intervention_interventions_take_proficient,47
169,169_safety_fstedt_la_health,47
170,170_abortion_abortions_weeks_babies,46
171,171_prosecution_crown_prosecutions_disclosure,46
172,172_drones_uavs_reaper_pakistan,46
173,173_waste_landfill_recycling_compost,45
174,174_diabetes_insulin_type_amputations,45
175,175_fraud_sfo_bribery_director,45
176,176_rose_name_sushi_grimbarians,45
177,177_sanitation_water_hygiene_clean,45
178,178_badge_badges_blue_parking,45
179,179_gang_gangs_violence_knife,44
180,180_majesty_queen_jubilee_reign,44
181,181_probation_service_offender_reoffending,44
182,182_debate_speak_adjournment_house,43
183,183_early_intervention_childrens_centres,43
184,184_donations_cap_parties_donors,43
185,185_strikeout_gentleman_case_court,41
186,186_migration_immigration_migrants_net,41
187,187_council_freeze_tax_doubled,41
188,188_mesothelioma_sufferers_asbestos_victims,41
189,189_arms_treaty_export_trade,41
190,190_prison_women_men_offenders,40
191,191_hiv_malaria_aids_tb,40
192,192_civil_service_servants_reform,40
193,193_ipcc_officers_misconduct_retired,40
194,194_fourteenth_1862_thirtyfive_72yearold,40
195,195_bahai_bahais_iran_iranian,40
196,196_queues_heathrow_border_staff,40
197,197_risk_risks_registers_register,39
198,198_piracy_pirates_ransom_ransoms,39
199,199_dementia_diagnosis_sufferers_alzheimers,39
200,200_alterations_listed_churches_worship,39
201,201_local_growth_authorities_rates,39
202,202_trident_submarines_submarine_deterrent,38
203,203_answer_question_answering_misunderstood,37
204,204_member_park_hon_spoke,37
205,205_attainment_pupils_schools_exam,37
206,206_jury_judges_judge_judgment,36
207,207_foreign_give_secretary_chief,36
208,208_ford_visteon_employees_pension,36
209,209_mhz_4g_spectrum_ofcom,36
210,210_transport_devonport_sutton_plymouth,36
211,211_doctors_directive_junior_training,36
212,212_park_site_owners_owner,35
213,213_beg_read_clause_move,35
214,214_defence_procurement_des_equipment,35
215,215_mayor_mayors_elected_cities,35
216,216_highspeed_scotland_rail_phase,34
217,217_dissent_indicated__,34
218,218_educational_special_dyslexia_learning,34
219,219_planning_development_councils_housing,34
220,220_thalidomide_thalidomiders_grant_survivors,33
221,221_local_councils_authorities_rates,33
222,222_daylight_clocks_greenwich_sunrise,33
223,223_governor_appointment_treasury_appointments,32
224,224_toilets_turnstiles_toilet_turnstile,32
225,225_brazil_latin_embassy_america,32
226,226_defence_ministry_bernard_armed,32
227,227_drugs_khat_misuse_drug,32
228,228_pleasure_chairmanship_serve_securing,31
229,229_allowance_personal_tax_altogether,31
230,230_didnt_wasnt_youve_ooh,31
231,231_kashmir_pakistan_hazara_hazaras,31
232,232_scotland_scottish_unemployment_dunbartonshire,31
233,233_science_research_sciences_innovation,31
234,234_calls_0845_numbers_phone,31
235,235_speaker_mr_permission_sagacity,30
236,236_followed_thursday_monday_nominated,30
237,237_missing_death_katrice_presumed,30
238,238_engagements_wednesday_official_list,30
239,239_beg_lords_disagrees_agrees,30
240,240_consultation_responses_petitions_neighbour,29
241,241_colleges_technical_college_university,29
242,242_cybersecurity_cybercrime_civil_contingencies,29
243,243_engineering_diploma_engineers_physics,29
244,244_progress_give_way_make,29
245,245_lady_rbs_ladys_shoesmith,29
246,246_lobbyists_lobbying_register_statutory,28
247,247_horses_tethered_animals_horse,28
248,248_typhoon_bae_indian_india,28
249,249_nhs_spending_leigh_irresponsible,28
250,250_mortgage_rates_interest_low,28
251,251_small_businesses_mediumsized_microbusiness,28
252,252_sunday_sundays_hours_stores,28
253,253_recession_doubledip_economy_prime,28
254,254_scillonian_zealanders_papua_malta,28
255,255_dissent_indicated__,27
256,256_copyright_intellectual_hargreaves_exceptions,27
257,257_nato_defence_natos_allies,27
258,258_give_way_friend_pallbearers,27
259,259_apd_ireland_northern_flights,27
260,260_chairman_committee_give_affairs,27
261,261_speaker_order_mr_point,27
262,262_children_child_barred_professionals,27
263,263_commonwealth_trade_territories_countries,26
264,264_stalking_offence_4a_2a,26
265,265_amendment_trial_lengthen_accepting,26
266,266_welsh_dragoon_guards_regiments,26
267,267_data_statistics_unverified_providers,26
268,268_borrowing_chancellor_obr_debt,26
269,269_maldives_nasheed_president_anni,26
270,270_korea_north_korean_shin,26
271,271_pakistan_afghanistan_pakistans_taliban,26
272,272_zimbabwe_diamonds_anjin_diamond,26
273,273_waiting_weeks_patients_treatment,26
274,274_palace_visitors_visitor_parliament,26
275,275_els_cpr_cardiac_lifesaving,25
