topic_id,topic_name,size
-1,-1_hon_government_right_house,33110
0,0_ireland_northern_irish_sinn,1497
1,1_rail_trains_transport_passengers,1213
2,2_schools_school_formula_funding,1187
3,3_trade_union_customs_free,939
4,4_police_crime_policing_officers,725
5,5_fire_tower_grenfell_safety,723
6,6_israel_palestinian_israeli_peace,592
7,7_order_speaker_deputy_mr,469
8,8_clause_amendment_amendments_tabled,424
9,9_yemen_saudi_arabia_humanitarian,396
10,10_give_gentleman_way_hon,395
11,11_chancellor_debt_budget_deficit,393
12,12_armed_forces_personnel_army,383
13,13_broadband_superfast_fibre_speeds,360
14,14_farmers_farming_agricultural_food,354
15,15_gentleman_lady_intervention_hon,345
16,16_jobcentre_jobcentres_glasgow_dwp,335
17,17_universal_credit_rollout_claimants,325
18,18_maiden_speech_member_spoke,320
19,19_rohingya_bangladesh_burma_myanmar,301
20,20_dubs_children_unaccompanied_greece,301
21,21_homes_housing_affordable_built,287
22,22_iran_iranian_nazanin_irans,276
23,23_industrial_automotive_strategy_vauxhall,272
24,24_give_way_minister_briefly,268
25,25_airport_airports_heathrow_flights,266
26,26_bus_buses_franchising_operators,257
27,27_tax_avoidance_corporation_evasion,257
28,28_citizens_nationals_eu_living,240
29,29_hms_frigates_shipbuilding_ships,236
30,30_students_student_university_fees,229
31,31_prison_prisons_prisoners_governors,221
32,32_homelessness_rough_homeless_temporary,212
33,33_fishing_fisheries_fish_fishermen,211
34,34_lady_give_way_hon,210
35,35_nurses_nursing_nurse_nhs,206
36,36_leasehold_landlords_freehold_tenants,205
37,37_backbench_debates_debate_opposition,187
38,38_extremism_terrorism_prevent_terrorist,185
39,39_welsh_wales_assembly_devolved,185
40,40_electoral_registration_voter_register,181
41,41_mental_health_parity_esteem,181
42,42_mental_health_young_children,176
43,43_road_drivers_driving_roads,176
44,44_referendum_voted_leave_vote,165
45,45_pip_dla_assessments_mental,158
46,46_give_way_friend_hon,156
47,47_snp_scottish_independence_scotland,152
48,48_women_female_equalities_womens,145
49,49_drug_drugs_cannabis_addiction,144
50,50_clause_powers_legislation_law,144
51,51_daesh_mosul_iraq_iraqi,144
52,52_care_social_adult_precept,143
53,53_parking_charges_car_dvla,143
54,54_apprenticeships_apprenticeship_apprentices_starts,142
55,55_pension_age_pensions_expectancy,139
56,56_friend_makes_point_hon,138
57,57_flood_flooding_water_defences,129
58,58_religious_christians_religion_freedom,127
59,59_ivory_elephants_ban_elephant,126
60,60_radio_stations_dab_smallscale,125
61,61_court_jurisdiction_rights_european,125
62,62_energy_customers_ofgem_price,125
63,63_restorative_justice_victims_court,124
64,64_referendum_vote_voted_leave,120
65,65_rates_business_businesses_small,119
66,66_hospital_ccg_nhs_care,118
67,67_nuclear_euratom_safeguards_onr,118
68,68_smoking_tobacco_vaping_ecigarettes,117
69,69_beer_pubs_duty_pub,117
70,70_nhs_kings_hospitals_trust,115
71,71_nan_ni_hove_,111
72,72_autism_autistic_diagnosis_spectrum,110
73,73_childcare_hours_nurseries_parents,108
74,74_ofcom_merger_broadcasting_leveson,107
75,75_cap_pay_sector_public,105
76,76_students_universities_poststudy_international,103
77,77_cancer_breast_kadcyla_drugs,102
78,78_rbs_banking_bank_branches,102
79,79_warrant_arrest_europol_european,102
80,80_departmental_responsibilities_statement_make,102
81,81_smart_meters_meter_energy,101
82,82_constituency_enterprise_friend_lunesdale,101
83,83_baby_neonatal_maternity_bereavement,100
84,84_animal_welfare_animals_standards,100
85,85_give_gentleman_way_right,99
86,86_nato_estonia_defence_poland,99
87,87_article_50_withdrawal_trigger,99
88,88_prison_officers_prisons_recruit,96
89,89_domestic_violence_abuse_victims,95
90,90_air_diesel_pollution_quality,94
91,91_disabled_disability_employers_confident,93
92,92_war_passchendaele_battle_ypres,91
93,93_gps_gp_medical_practice,91
94,94_sudan_somalia_famine_aid,91
95,95_tidal_lagoon_energy_swansea,90
96,96_poverty_food_child_children,90
97,97_badgers_tb_culling_cattle,88
98,98_kashmir_pakistan_india_indian,86
99,99_environmental_chemical_chemicals_environment,85
100,100_bullying_bullied_sexual_harassment,83
101,101_nigeria_africa_ghana_drc,83
102,102_valproate_pregnancy_primodos_drug,83
103,103_deterrent_trident_vengeance_missile,81
104,104_councils_local_authorities_business,81
105,105_proportional_pr_representation_votes,80
106,106_post_office_offices_mail,80
107,107_order_speaker_mr_point,80
108,108_russian_russia_putin_interference,79
109,109_legal_aid_laspo_justice,79
110,110_lgbt_gay_transgender_trans,79
111,111_ccs_carbon_capture_storage,78
112,112_bbc_licence_fee_news,78
113,113_zimbabwe_mugabe_elections_zimbabwean,78
114,114_ncs_young_participants_volunteering,77
115,115_hate_crime_online_crimes,77
116,116_holocaust_memorial_antisemitism_auschwitz,77
117,117_pharmacies_pharmacy_pharmacists_gp,76
118,118_give_doughty_way_penarth,75
119,119_homes_housing_affordable_buy,74
120,120_hurricane_irma_territories_islands,74
121,121_blood_contaminated_hepatitis_inquiry,74
122,122_petition_petitioners_declares_urges,73
123,123_scottish_devolved_scotland_amendments,72
124,124_commonwealth_trade_countries_zealand,70
125,125_care_social_adult_carers,70
126,126_milton_keynes_town_towns,70
127,127_dental_tooth_decay_teeth,70
128,128_korea_korean_nuclear_chinese,69
129,129_cyber_cybersecurity_gchq_cybercrime,69
130,130_sex_relationships_sre_education,68
131,131_gambling_betting_machines_fobts,68
132,132_tolls_bridge_toll_crossings,67
