topic_id,topic_name,size
-1,-1_hon_friend_right_government,35848
0,0_energy_gas_fuel_electricity,3040
1,1_housing_rented_landlords_tenants,1766
2,2_ireland_northern_belfast_assembly,1416
3,3_syria_chemical_weapons_syrian,1108
4,4_banks_bank_banking_payday,1100
5,5_tax_rate_income_50p,530
6,6_pension_pensions_pensioners_retirement,514
7,7_post_mail_royal_postal,482
8,8_police_officers_crime_policing,479
9,9_apprenticeships_apprenticeship_apprentices_skills,472
10,10_sport_football_sports_club,430
11,11_tax_avoidance_hmrc_gaar,421
12,12_marriage_samesex_couples_civil,419
13,13_speaker_order_deputy_mr,406
14,14_give_gentleman_way_hon,405
15,15_scottish_scotland_snp_referendum,396
16,16_councils_rural_council_cuts,388
17,17_army_reserve_reservists_reserves,354
18,18_gambling_betting_racing_operators,343
19,19_smoking_tobacco_packaging_cigarettes,328
20,20_nhs_hospitals_hospital_doctors,318
21,21_child_parents_care_childrens,309
22,22_lobbying_lobbyists_register_lobbyist,308
23,23_give_way_minister_nod,307
24,24_probation_offenders_reoffending_trusts,275
25,25_coast_rail_franchise_railways,253
26,26_schools_school_academies_free,249
27,27_meat_food_products_fsa,249
28,28_iran_nuclear_iranian_irans,245
29,29_mali_french_algeria_algerian,245
30,30_food_banks_bank_trussell,241
31,31_dog_dogs_attacks_owners,239
32,32_monarch_succession_catholic_church,233
33,33_broadband_superfast_rural_bt,230
34,34_prison_prisoners_prisons_reoffending,226
35,35_palestinian_israel_israeli_palestinians,222
36,36_intelligence_guardian_gchq_security,217
37,37_carers_care_social_caring,214
38,38_water_ofwat_rivers_companies,213
39,39_airport_heathrow_airports_aviation,208
40,40_students_universities_university_student,205
41,41_wasnt_youre_hundred_ive,204
42,42_give_way_friend_hon,204
43,43_badgers_cattle_badger_cull,203
44,44_borrowing_deficit_debt_borrow,199
45,45_lady_give_way_hon,197
46,46_war_munitions_world_memorial,194
47,47_backbench_business_motion_committee,194
48,48_flood_flooding_insurance_defences,189
49,49_cycling_cyclists_cycle_bike,184
50,50_town_street_high_retail,179
51,51_mental_health_iapt_therapies,177
52,52_pubs_pub_beer_escalator,173
53,53_sri_lanka_commonwealth_lankan,171
54,54_unemployment_unemployed_jobs_employment,169
55,55_disabled_disability_allowance_cumulative,165
56,56_afghanistan_afghan_taliban_women,163
57,57_clause_bill_amendments_committee,160
58,58_give_gentleman_way_right,160
59,59_teachers_teacher_teaching_qualified,157
60,60_fishing_fishermen_fisheries_fish,157
61,61_welsh_wales_assembly_silk,156
62,62_dementia_diagnosis_alzheimers_research,155
63,63_friend_makes_point_hon,154
64,64_youth_unemployment_young_unemployed,151
65,65_farmers_pillar_cap_farming,151
66,66_fire_firefighters_rescue_60,150
67,67_gibraltar_spanish_spain_waters,148
68,68_universal_credit_rollout_pathfinder,147
69,69_thatcher_margaret_thatchers_mrs,143
70,70_pleasure_chairmanship_serve_debate,141
71,71_aircraft_carriers_carrier_maritime,141
72,72_legal_aid_bar_solicitors,137
73,73_welfare_cap_benefits_benefit,136
74,74_exports_export_china_trade,136
75,75_romania_bulgaria_romanians_bulgarians,136
76,76_chancellor_deficit_growth_budget,132
77,77_cancer_patients_patient_diagnosis,131
78,78_trafficking_slavery_trafficked_human,131
79,79_member_mr_speech_debate,128
80,80_hs2_highspeed_rail_transport,126
81,81_parties_third_charities_campaigning,123
82,82_mandela_nelson_africa_apartheid,116
83,83_charging_electric_highway_london,115
84,84_give_way_member_lucas,114
85,85_diabetes_obesity_type_amputations,112
86,86_departmental_responsibilities_statement_make,110
87,87_blacklisting_blacklist_construction_blacklisted,109
88,88_hospital_lewisham_trust_emergency,107
89,89_alcohol_pricing_minimum_unit,107
90,90_liberal_democrats_conservative_party,106
91,91_church_bishops_archbishop_synod,104
92,92_burma_burmese_rohingya_kachin,104
93,93_women_gender_boards_diversity,104
94,94_referendum_european_union_inout,103
