year,num_topics,training_time,coherence,baseline_coherence,coherence_delta,coherence_calc_time
2010,470,259.46482729911804,,,,
2011,542,496.09747290611267,,,,
2012,495,364.3185420036316,,,,
2013,507,456.5681962966919,,,,
2014,518,422.33663868904114,,,,
2015,472,273.2823386192322,,,,
2016,535,240.75984048843384,,,,
2017,558,209.1515200138092,,,,
2018,628,258.7764644622803,,,,
2019,538,220.340815782547,,,,
2010-2019_merged,2761,3.61276912689209,0.6081273925545814,0.5680562222827718,0.04007117027180962,6273.951040267944
