topic_id,topic_name,size
-1,-1_hon_right_friend_gentleman,33338
0,0_housing_tenants_rented_landlords,1586
1,1_rail_trains_line_network,1437
2,2_european_eu_europe_union,1036
3,3_ireland_northern_nca_sinn,1004
4,4_israel_gaza_palestinian_israeli,891
5,5_ukraine_russia_russian_ukrainian,889
6,6_flood_flooding_water_defences,713
7,7_iraq_isil_iraqi_syria,623
8,8_welsh_wales_assembly_devolution,552
9,9_refugees_syrian_syria_refugee,494
10,10_pension_pensions_retirement_schemes,471
11,11_arrest_warrant_european_justice,438
12,12_speaker_order_deputy_madam,431
13,13_tax_rate_50p_income,413
14,14_police_officers_policing_crime,405
15,15_apprenticeships_apprenticeship_apprentices_employers,346
16,16_child_parents_care_families,346
17,17_give_gentleman_way_hon,334
18,18_planning_belt_development_neighbourhood,321
19,19_passport_passports_applications_hmpo,307
20,20_give_way_minister_ministeroh,293
21,21_afghanistan_afghan_taliban_women,284
22,22_broadband_superfast_bt_coverage,281
23,23_oh_isnt_dont_hes,280
24,24_wage_minimum_living_employers,265
25,25_badgers_tb_cattle_badger,259
26,26_deficit_chancellor_debt_budget,256
27,27_pubs_pub_beer_tied,253
28,28_bus_buses_transport_operators,248
29,29_abuse_sexual_child_children,222
30,30_iran_nuclear_irans_iranian,212
31,31_gambling_betting_shops_machines,210
32,32_football_club_clubs_league,209
33,33_pip_atos_delays_assessment,207
34,34_universal_credit_rollout_benefits,207
35,35_fracking_gas_shale_oil,203
36,36_tpims_tpim_terrorism_orders,200
37,37_mental_health_parity_esteem,196
38,38_hospital_nhs_hospitals_patients,192
39,39_war_centenary_commemorations_commemoration,188
40,40_fishing_fish_fisheries_bass,185
41,41_give_way_friend_hon,183
42,42_climate_change_science_warming,178
43,43_hospitals_hospital_nhs_nurses,171
44,44_prison_prisoners_prisons_noms,166
45,45_airport_airports_aviation_manston,165
46,46_backbench_debate_motion_house,165
47,47_judicial_review_court_cases,162
48,48_food_banks_trussell_bank,162
49,49_extremism_muslim_prevent_extremist,159
50,50_clerk_robert_house_recall,155
51,51_scottish_scotland_referendum_kingdom,154
52,52_nato_defence_summit_gdp,151
53,53_dogs_dog_puppies_puppy,148
54,54_ebola_sierra_leone_outbreak,143
55,55_zerohours_contracts_contract_exclusivity,142
56,56_councils_council_cuts_local,139
57,57_slavery_trafficking_modern_victims,138
58,58_lady_give_way_hon,136
59,59_smoking_tobacco_packaging_smoke,133
60,60_drugs_substances_highs_drug,131
61,61_firefighters_fitness_fire_pension,131
62,62_unemployment_youth_young_longterm,127
63,63_reserve_army_recruitment_reserves,126
64,64_registration_electoral_register_voter,126
65,65_wales_england_welsh_nhs,125
66,66_miners_coal_mines_mining,123
67,67_currency_scotland_union_pound,118
68,68_friend_point_makes_hon,115
69,69_departmental_responsibilities_statement_make,114
70,70_driving_dangerous_death_disqualified,114
71,71_legal_aid_bono_pro,109
72,72_data_communications_retention_ripa,108
73,73_teachers_teaching_teacher_profession,107
74,74_church_bishops_women_synod,106
75,75_pleasure_chairmanship_serve_debate,105
76,76_wholesale_energy_prices_competition,103
77,77_youth_young_ncs_services,101
78,78_nhs_private_health_labour,99
79,79_christians_religion_persecution_freedom,99
80,80_free_schools_school_academies,98
81,81_gentleman_lady_write_hon,98
82,82_hong_kong_china_chinese,97
83,83_mesothelioma_asbestos_laspo_compensation,96
84,84_autism_autistic_adults_parents,96
85,85_export_exports_ukti_exporting,95
86,86_recall_voters_mps_petition,94
87,87_domestic_violence_abuse_victims,93
88,88_holocaust_bosnia_memorial_auschwitz,91
89,89_tickets_ticket_secondary_fans,91
90,90_files_inquiry_home_survivors,90
91,91_nan___,89
92,92_civil_member_servants_speech,86
93,93_aerospace_automotive_chain_industry,85
94,94_assembly_electoral_candidates_wales,84
95,95_food_elliott_horsemeat_professor,84
96,96_burma_burmese_rohingya_kachin,83
97,97_sport_sports_womens_sporting,82
98,98_babies_stillbirth_infant_baby,81
99,99_taxi_drivers_hire_vehicle,80
100,100_unemployment_fallen_employment_fulltime,80
101,101_cancer_pancreatic_survival_diagnosis,79
102,102_cybersecurity_cyber_defence_cyberattack,78
103,103_ofsted_schools_inspection_school,78
104,104_mail_royal_shares_sale,78
105,105_scotland_border_scottish_independence,78
106,106_enterprise_growth_partnership_lep,78
107,107_married_marriage_couples_allowance,78
108,108_sixthform_colleges_college_student,76
109,109_give_member_way_islington,76
110,110_nuclear_weapons_deterrent_conference,76
111,111_steel_tata_industry_products,76
112,112_slaughter_meat_halal_animal,76
113,113_dementia_diagnosis_alzheimers_dementiafriendly,75
114,114_citizenship_stateless_nationality_naturalised,75
115,115_obr_chancellor_shadow_chote,74
116,116_wage_minimum_living_pay,74
117,117_payment_prompt_late_businesses,74
118,118_sanctions_sanctioned_jobcentre_claimants,73
119,119_post_office_offices_branches,73
120,120_safety_selfemployed_health_1974,73
121,121_amendments_clause_tabled_clauses,72
