year,num_topics,training_time,coherence,baseline_coherence,coherence_delta,coherence_calc_time
2010,470,180.28448486328125,,,,
2011,542,191.74424767494202,,,,
2012,495,179.0807318687439,,,,
2013,507,199.99521708488464,,,,
2014,518,162.26230216026306,,,,
2015,472,321.39820647239685,,,,
2016,535,329.7402009963989,,,,
2017,558,163.11816215515137,,,,
2018,628,202.9647045135498,,,,
2019,538,179.29140448570251,,,,
2010-2019_merged,770,,0.5968963929492234,0.5680562222827718,0.028840170666451614,1102.4045836925507
