topic_id,cv_score,cnpmi_score,size,top_words,word_weights
0,0.4496794899497524,-0.045761358228999585,509,"referendum, election, brexit, vote, deal, voted, general, leave, opposition, people","0.0132, 0.0122, 0.0100, 0.0095, 0.0094, 0.0082, 0.0077, 0.0067, 0.0065, 0.0061"
1,0.5496291483583315,-0.026776359577686162,369,"ireland, northern, border, agreement, irish, customs, checks, friday, goods, consent","0.0245, 0.0212, 0.0173, 0.0128, 0.0106, 0.0100, 0.0098, 0.0094, 0.0081, 0.0075"
2,0.7061777892319393,0.03362995087656857,342,"housing, homes, rough, homelessness, sleeping, build, affordable, building, local, homeless","0.0240, 0.0168, 0.0103, 0.0094, 0.0094, 0.0088, 0.0083, 0.0078, 0.0076, 0.0072"
3,0.6898169633726073,0.09313003463984809,308,"schools, school, funding, education, college, teachers, pupil, dudley, per, pupils","0.0304, 0.0164, 0.0157, 0.0151, 0.0115, 0.0105, 0.0084, 0.0068, 0.0063, 0.0062"
4,0.2850283657350116,-0.3958542619733674,282,"northern, ireland, assembly, executive, stormont, parties, state, sinn, fã, secretary","0.0233, 0.0232, 0.0119, 0.0111, 0.0092, 0.0078, 0.0073, 0.0071, 0.0071, 0.0067"
5,0.36944403492640304,-0.06973690740578825,262,"you, your, speaker, me, house, mr, my, thank, was, have","0.0255, 0.0133, 0.0119, 0.0079, 0.0068, 0.0068, 0.0064, 0.0063, 0.0061, 0.0055"
6,0.24343830052130966,-0.28642053681828483,260,"scotland, scottish, snp, union, prime, independence, referendum, election, european, brexit","0.0286, 0.0168, 0.0136, 0.0086, 0.0082, 0.0066, 0.0065, 0.0063, 0.0061, 0.0060"
7,0.6871437838382454,0.10876010845834849,256,"rail, transport, network, line, trains, railway, north, passengers, train, road","0.0198, 0.0123, 0.0107, 0.0105, 0.0100, 0.0098, 0.0081, 0.0069, 0.0069, 0.0065"
8,0.6281426247157815,0.08702530951216685,236,"climate, change, carbon, zero, net, emissions, energy, target, wind, we","0.0235, 0.0126, 0.0108, 0.0097, 0.0095, 0.0090, 0.0085, 0.0074, 0.0064, 0.0062"
9,0.5895562414883248,0.019263985489375933,219,"domestic, abuse, bill, violence, victims, women, victim, her, perpetrators, definition","0.0275, 0.0243, 0.0117, 0.0106, 0.0105, 0.0084, 0.0059, 0.0058, 0.0055, 0.0054"
10,0.6586985818394321,0.12934917272029745,210,"hospital, hospitals, nhs, capital, trust, telford, investment, new, princess, funding","0.0344, 0.0139, 0.0138, 0.0132, 0.0116, 0.0109, 0.0093, 0.0090, 0.0073, 0.0070"
11,0.6982735546583183,0.1493312554738148,203,"victims, ireland, northern, abuse, institutional, survivors, historical, legislation, compensation, redress","0.0230, 0.0105, 0.0104, 0.0102, 0.0097, 0.0094, 0.0076, 0.0076, 0.0072, 0.0069"
12,0.5840624772641274,0.026390257477672843,183,"fire, grenfell, cladding, firefighters, buildings, building, tower, tragedy, safety, brigade","0.0335, 0.0198, 0.0180, 0.0119, 0.0118, 0.0114, 0.0112, 0.0087, 0.0087, 0.0082"
13,0.275371927339287,-0.059986861794531846,174,"cook, thomas, company, insolvency, directors, airline, employees, collapse, airlines, atol","0.0357, 0.0340, 0.0157, 0.0111, 0.0098, 0.0096, 0.0095, 0.0093, 0.0090, 0.0086"
14,0.45090777173554625,-0.06746848127809836,156,"police, officers, crime, policing, stoke, trent, 000, 20, staffordshire, force","0.0389, 0.0214, 0.0204, 0.0127, 0.0084, 0.0082, 0.0076, 0.0063, 0.0060, 0.0048"
15,0.3160270361231291,-0.1999887102838622,147,"turkey, syria, daesh, kurdish, kurds, allies, turkish, nato, foreign, ally","0.0371, 0.0218, 0.0152, 0.0141, 0.0135, 0.0135, 0.0130, 0.0111, 0.0107, 0.0086"
16,0.48826282620257316,-0.042636659785413596,136,"iran, foreign, international, strait, hormuz, nuclear, iranian, jcpoa, navigation, tanker","0.0402, 0.0126, 0.0125, 0.0111, 0.0109, 0.0108, 0.0107, 0.0100, 0.0087, 0.0085"
