n_components,num_topics,coherence_score,training_time,coherence_calculation_time
3,138,0.5049464305325275,335.65344524383545,17.41275382041931
8,143,0.5370871370316568,340.2780110836029,19.15530824661255
13,137,0.5289543024057167,351.7302186489105,19.634931802749634
18,138,0.5302987577204176,359.2524530887604,20.139138221740723
23,135,0.52078298196201,362.3019497394562,19.64296531677246
28,129,0.5263380278466407,376.0663721561432,19.696879863739014
33,140,0.5355609820875769,534.285336971283,19.466731309890747
38,135,0.5213098089611339,505.2835056781769,21.71056890487671
43,137,0.5345432023378682,482.7850286960602,20.90990686416626
48,126,0.522114306873131,481.85959243774414,19.732932329177856
