Topic_ID,Count,Name,Representation,Top_Words
-1,7971,-1_the_to_that_and,"['the', 'to', 'that', 'and', 'of', 'is', 'in', 'we', 'for', 'it']",Outlier topic
0,3623,0_the_to_of_that,"['the', 'to', 'of', 'that', 'and', 'in', 'is', 'for', 'it', 'have']","the, to, of, that, and"
1,2400,1_the_to_and_of,"['the', 'to', 'and', 'of', 'that', 'in', 'is', 'we', 'for', 'on']","the, to, and, of, that"
2,1990,2_the_to_and_of,"['the', 'to', 'and', 'of', 'that', 'in', 'is', 'for', 'have', 'are']","the, to, and, of, that"
3,1409,3_the_to_and_that,"['the', 'to', 'and', 'that', 'of', 'in', 'is', 'for', 'health', 'we']","the, to, and, that, of"
4,699,4_the_to_of_and,"['the', 'to', 'of', 'and', 'in', 'that', 'we', 'is', 'on', 'it']","the, to, of, and, in"
5,482,5_hon_give_way_gentleman,"['hon', 'give', 'way', 'gentleman', 'will', 'lady', 'right', 'to', 'friend', 'the']","hon, give, way, gentleman, will"
6,299,6_the_that_to_is,"['the', 'that', 'to', 'is', 'of', 'and', 'we', 'in', 'it', 'are']","the, that, to, is, of"
7,252,7_the_to_and_that,"['the', 'to', 'and', 'that', 'in', 'of', 'is', 'it', 'have', 'for']","the, to, and, that, in"
8,172,8_give_way_will_yes,"['give', 'way', 'will', 'yes', 'intervention', 'no', 'take', 'am', 'time', 'then']","give, way, will, yes, intervention"
9,154,9_of_christians_the_and,"['of', 'christians', 'the', 'and', 'to', 'in', 'rose', 'that', 'church', 'persecution']","of, christians, the, and, to"
10,118,10_football_the_spanish_and,"['football', 'the', 'spanish', 'and', 'spain', 'of', 'to', 'that', 'in', 'is']","football, the, spanish, and, spain"
11,87,11_cook_thomas_the_to,"['cook', 'thomas', 'the', 'to', 'have', 'that', 'company', 'of', 'and', 'in']","cook, thomas, the, to, have"
12,80,12_music_the_and_of,"['music', 'the', 'and', 'of', 'to', 'in', 'for', 'education', 'that', 'festival']","music, the, and, of, to"
13,77,13_speaker_mr_order_point,"['speaker', 'mr', 'order', 'point', 'on', 'of', 'you', 'thank', 'further', 'madam']","speaker, mr, order, point, on"
14,58,14_forces_armed_the_arnhem,"['forces', 'armed', 'the', 'arnhem', 'of', 'and', 'to', 'that', 'in', 'our']","forces, armed, the, arnhem, of"
15,56,15_indicated_assent_dissent_83m,"['indicated', 'assent', 'dissent', '83m', 'forthwith', 'grand', 'resolved', 'legislative', 'itself', 'standing']","indicated, assent, dissent, 83m, forthwith"
16,36,16_statement_departmental_responsibilities_make,"['statement', 'departmental', 'responsibilities', 'make', 'if', 'on', 'will', 'he', 'ask', 'his']","statement, departmental, responsibilities, make, if"
17,19,17_law_obey_government_will,"['law', 'obey', 'government', 'will', 'rule', 'the', 'comply', 'saying', 'and', 'not']","law, obey, government, will, rule"
18,18,18_venezuela_zimbabwe_humanitarian_million,"['venezuela', 'zimbabwe', 'humanitarian', 'million', 'aid', 'of', 'the', 'in', 'is', 'support']","venezuela, zimbabwe, humanitarian, million, aid"
