topic_id,cv_score,size,top_words,word_weights
0,0.8751962058493259,1503,"rail, trains, passengers, network, line, train, franchise, timetable, railway, coast","0.0190, 0.0129, 0.0108, 0.0090, 0.0090, 0.0085, 0.0083, 0.0078, 0.0073, 0.0069"
1,0.7308833633460259,1080,"hospital, patients, care, health, ambulance, service, trust","0.0097, 0.0079, 0.0076, 0.0069, 0.0060, 0.0055, 0.0048"
2,0.6517531824710245,984,"trade, customs, union, eu, agreements, free, tariffs, deals, countries, agreement","0.0254, 0.0139, 0.0103, 0.0098, 0.0082, 0.0082, 0.0076, 0.0065, 0.0056, 0.0055"
3,0.8988478328607217,918,"fishing, fisheries, fishermen, fish, waters, coastal, industry, quota, common, marine","0.0279, 0.0217, 0.0149, 0.0142, 0.0128, 0.0087, 0.0080, 0.0064, 0.0061, 0.0058"
4,0.2068660138957814,873,"parliament, devolution, powers, independence, union, kingdom, united","0.0093, 0.0089, 0.0066, 0.0059, 0.0054, 0.0052, 0.0047"
5,0.8048921289802407,838,"homes, housing, planning, land, affordable, build, local, houses, developers, neighbourhood","0.0175, 0.0175, 0.0121, 0.0091, 0.0084, 0.0077, 0.0076, 0.0069, 0.0065, 0.0065"
6,0.6835055919293526,761,"disabled, disability, disabilities, people, assessment, work, employment, assessments, claimants","0.0245, 0.0153, 0.0092, 0.0079, 0.0060, 0.0055, 0.0055, 0.0047, 0.0045"
7,0.7386138970977246,720,"police, crime, policing, officers, funding, settlement, cuts, force, million, commissioner","0.0382, 0.0168, 0.0157, 0.0142, 0.0080, 0.0071, 0.0066, 0.0064, 0.0061, 0.0056"
9,0.93252714307894,658,"airport, airports, noise, runway, expansion, flights, aviation","0.0239, 0.0146, 0.0138, 0.0120, 0.0117, 0.0075, 0.0074"
10,0.8648892246437281,654,"schools, school, teachers, funding, pupil, education, pupils, academy, academies, formula","0.0329, 0.0218, 0.0120, 0.0112, 0.0099, 0.0098, 0.0091, 0.0084, 0.0073, 0.0069"
11,0.7584743549191045,646,"council, councils, local, county, authorities, funding, services, cuts, government","0.0157, 0.0155, 0.0151, 0.0084, 0.0073, 0.0073, 0.0065, 0.0060, 0.0056"
12,0.4841189219979364,604,"generation, immigration, home, here, illegal, office, citizens, who","0.0144, 0.0127, 0.0117, 0.0075, 0.0071, 0.0066, 0.0054, 0.0051"
13,0.9148183308987454,603,"cancer, breast, patients, treatment, cancers, screening, diagnosis, blood, survival, diagnosed","0.0463, 0.0146, 0.0106, 0.0101, 0.0097, 0.0091, 0.0089, 0.0081, 0.0071, 0.0061"
14,0.8594398854684621,587,"prison, prisons, prisoners, probation, reoffending, officers, offenders, prisoner, staff","0.0379, 0.0223, 0.0187, 0.0110, 0.0109, 0.0101, 0.0093, 0.0053, 0.0049"
15,0.7719076593241352,573,"knife, crime, violence, knives, young, youth, weapons, lines, police, gangs","0.0147, 0.0138, 0.0126, 0.0091, 0.0088, 0.0082, 0.0069, 0.0059, 0.0058, 0.0057"
16,0.3226738495816816,569,"northern, assembly, executive, decisions, parties, civil","0.0234, 0.0131, 0.0089, 0.0085, 0.0066, 0.0053"
17,0.8241120716956104,553,"peace, international, humanitarian","0.0066, 0.0061, 0.0049"
18,0.6323051430667369,542,"universal, credit, roll, claimants, work, system, benefits, out, people, jobcentre","0.0389, 0.0364, 0.0118, 0.0098, 0.0083, 0.0074, 0.0067, 0.0060, 0.0059, 0.0055"
19,0.7606414652280316,511,"legal, aid, justice, court, courts, criminal, system, law, tribunals, judges","0.0188, 0.0157, 0.0145, 0.0137, 0.0136, 0.0062, 0.0062, 0.0061, 0.0059, 0.0059"
20,0.8604854808404314,509,"air, electric, vehicles, diesel, charging, pollution, cars, quality, emissions, clean","0.0217, 0.0197, 0.0178, 0.0159, 0.0142, 0.0116, 0.0109, 0.0105, 0.0099, 0.0075"
21,0.48404303095709666,499,"border, northern, customs, republic, hard, union, between, agreement","0.0340, 0.0170, 0.0118, 0.0105, 0.0095, 0.0088, 0.0079, 0.0075"
22,0.820650128025091,424,"rough, homelessness, sleeping, homeless, sleepers, accommodation, housing, streets, reduction, temporary","0.0336, 0.0333, 0.0283, 0.0214, 0.0104, 0.0100, 0.0099, 0.0069, 0.0051, 0.0049"
23,0.5462986889062499,423,"backstop, agreement, northern, withdrawal, relationship, eu, arrangement, union, border","0.0491, 0.0106, 0.0086, 0.0082, 0.0076, 0.0066, 0.0065, 0.0064, 0.0063"
24,0.8452830253760965,416,"sport, basketball, sports, games, football, club, shooting, league, clubs, sporting","0.0232, 0.0189, 0.0164, 0.0148, 0.0146, 0.0138, 0.0117, 0.0091, 0.0078, 0.0072"
25,0.7769171330207766,407,"chemical, weapons, regime, humanitarian, civilians, action, use","0.0241, 0.0220, 0.0117, 0.0116, 0.0078, 0.0074, 0.0067"
26,0.5623007943022625,391,"contracts, company, collapse, public, capita, outsourcing, directors, suppliers, companies","0.0190, 0.0122, 0.0091, 0.0090, 0.0086, 0.0077, 0.0075, 0.0073, 0.0068"
27,0.692697375344761,386,"harassment, complaints, bullying, staff, culture, sexual, house, behaviour, report","0.0149, 0.0106, 0.0096, 0.0083, 0.0077, 0.0073, 0.0073, 0.0067, 0.0059"
28,0.7346298325801883,382,"camps, refugees, international, military","0.0102, 0.0091, 0.0079, 0.0072"
29,0.8740499128139086,365,"plastic, plastics, waste, recycling, packaging, bottles, cups, recycled, use, environment","0.0508, 0.0202, 0.0184, 0.0160, 0.0156, 0.0105, 0.0091, 0.0085, 0.0077, 0.0074"
30,0.5534376440433284,353,"care, social, carers, adult, funding, green, councils, local, paper, older","0.0393, 0.0218, 0.0123, 0.0078, 0.0072, 0.0056, 0.0052, 0.0051, 0.0050, 0.0049"
31,0.7635029202156651,352,"refugees, refugee, asylum, family, reunion, children, seekers, families, reunited, rules","0.0255, 0.0188, 0.0158, 0.0113, 0.0103, 0.0065, 0.0062, 0.0056, 0.0046, 0.0044"
32,0.9055105464607399,349,"claims, insurance, whiplash, injury, premiums, compensation, injuries, fraudulent, insurers, limit","0.0314, 0.0237, 0.0162, 0.0143, 0.0117, 0.0099, 0.0099, 0.0080, 0.0072, 0.0066"
33,0.8976873618411216,326,"tenants, landlords, landlord, rented, tenant, agents, fees, letting, private, housing","0.0268, 0.0254, 0.0130, 0.0129, 0.0125, 0.0110, 0.0109, 0.0101, 0.0097, 0.0088"
34,0.7194884080175274,317,"autism, autistic, learning, disabilities, training, disability, spectrum, people, care","0.0492, 0.0216, 0.0145, 0.0088, 0.0079, 0.0077, 0.0067, 0.0057, 0.0052"
35,0.9189786190067587,315,"bank, banking, branch, banks, branches, closures, cash","0.0260, 0.0195, 0.0187, 0.0183, 0.0168, 0.0156, 0.0134"
36,0.6201388535734379,309,"shipbuilding, ships, type, navy, frigates, fleet, royal, defence, shipyards, ship","0.0312, 0.0256, 0.0169, 0.0137, 0.0136, 0.0121, 0.0111, 0.0110, 0.0099, 0.0097"
37,0.7655078943839232,308,"retail, rates, business, businesses, tax, retailers, high, street, small, online","0.0206, 0.0159, 0.0151, 0.0139, 0.0131, 0.0119, 0.0107, 0.0088, 0.0083, 0.0081"
38,0.7705092962988014,307,"students, university, education, universities, student, higher, colleges, fees, college, unconditional","0.0250, 0.0216, 0.0183, 0.0130, 0.0122, 0.0116, 0.0112, 0.0079, 0.0076, 0.0073"
39,0.8224722864904427,307,"road, safety, driving, roads, drivers, killed, deaths, dangerous, traffic, mph","0.0287, 0.0155, 0.0152, 0.0134, 0.0104, 0.0075, 0.0071, 0.0067, 0.0063, 0.0062"
40,0.6156790142676102,297,"mental, health, psychosis, services, young, children, schools, treatment, people","0.0453, 0.0294, 0.0086, 0.0086, 0.0082, 0.0066, 0.0054, 0.0053, 0.0045"
41,0.5152312473974038,288,"referendum, voted, vote, second, leave, people, result, remain, brexit, union","0.0302, 0.0141, 0.0123, 0.0105, 0.0100, 0.0070, 0.0067, 0.0058, 0.0058, 0.0056"
42,0.8635967451052176,274,"drug, drugs, substances, users, heroin, consumption, cannabis, synthetic, psychoactive","0.0300, 0.0277, 0.0102, 0.0096, 0.0087, 0.0085, 0.0077, 0.0074, 0.0070"
43,0.15406629920899292,274,"anti, holocaust, semitism, polish, memorial, party","0.0236, 0.0229, 0.0228, 0.0148, 0.0066, 0.0055"
44,0.6626190243425479,270,"farmers, farming, food, agriculture, agricultural, production, bill, environmental, environment, payments","0.0315, 0.0186, 0.0171, 0.0157, 0.0149, 0.0100, 0.0082, 0.0076, 0.0072, 0.0065"
45,0.9105536173063006,261,"persecution, religious, religion, freedom, belief, faith","0.0188, 0.0179, 0.0173, 0.0159, 0.0132, 0.0123"
46,0.912495248845665,256,"dogs, dog, pet, theft, puppies, animal, welfare, puppy, animals, breed","0.0316, 0.0316, 0.0212, 0.0148, 0.0148, 0.0141, 0.0113, 0.0112, 0.0095, 0.0094"
47,0.7516609205094391,256,"broadband, fibre, superfast, coverage, rural, mobile, roll, premises, megabits","0.0562, 0.0264, 0.0220, 0.0194, 0.0142, 0.0111, 0.0103, 0.0095, 0.0094"
48,0.7249677706800999,255,"ivory, wildlife, species, elephants, illegal, elephant, trade, poaching, ban, bill","0.0363, 0.0184, 0.0174, 0.0170, 0.0131, 0.0117, 0.0105, 0.0092, 0.0069, 0.0060"
49,0.417146456730609,253,"advice, attorney, legal, general, motion, house, interest, contempt, lawyer, learned","0.0281, 0.0211, 0.0153, 0.0148, 0.0096, 0.0077, 0.0073, 0.0070, 0.0069, 0.0068"
50,0.8162721577104395,252,"humanitarian, conflict, coalition, arms","0.0153, 0.0151, 0.0126, 0.0095"
51,0.7924685991827585,247,"bank, banks, banking, financial, businesses, business","0.0166, 0.0148, 0.0123, 0.0088, 0.0078, 0.0077"
52,0.5900097205895292,246,"debt, budget, austerity, chancellor, deficit, fiscal, economy, spending, billion","0.0188, 0.0131, 0.0130, 0.0116, 0.0102, 0.0077, 0.0073, 0.0071, 0.0067"
53,0.49434006040263956,229,"citizens, eu, immigration, status, settled, nationals, rights, living, uk, migration","0.0236, 0.0196, 0.0173, 0.0117, 0.0110, 0.0107, 0.0094, 0.0089, 0.0088, 0.0068"
54,0.9036229644308479,207,"nursing, nurses, nurse, bursary, students, student, training, bursaries, mature","0.0486, 0.0388, 0.0170, 0.0168, 0.0139, 0.0102, 0.0094, 0.0086, 0.0080"
55,0.6069480489127588,204,"women, female, woman, men, equality, suffrage, class, parliament, gender, centenary","0.0385, 0.0105, 0.0087, 0.0086, 0.0080, 0.0070, 0.0059, 0.0057, 0.0054, 0.0052"
56,0.7679856486864678,200,"apprenticeships, apprenticeship, levy, education, skills, apprentices, employers, young, technical, training","0.0471, 0.0345, 0.0198, 0.0149, 0.0142, 0.0129, 0.0094, 0.0087, 0.0085, 0.0080"
57,0.7713591599130977,200,"defence, threats, capabilities, capability, armed, forces, security, spending, budget, equipment","0.0404, 0.0108, 0.0107, 0.0098, 0.0087, 0.0086, 0.0081, 0.0074, 0.0070, 0.0068"
58,0.8914069191620225,194,"obesity, sugar, drinks, advertising, childhood, food, children, obese, junk, overweight","0.0363, 0.0189, 0.0187, 0.0159, 0.0155, 0.0151, 0.0134, 0.0134, 0.0129, 0.0089"
59,0.7703978824111618,194,"pension, pensions, schemes, scheme, employer, defined, retirement, employers, pensioners","0.0327, 0.0267, 0.0177, 0.0132, 0.0095, 0.0087, 0.0086, 0.0080, 0.0074"
60,0.8745197170126018,192,"electoral, voter, voters, fraud, polling, postal, elections, vote, register","0.0334, 0.0233, 0.0169, 0.0159, 0.0149, 0.0133, 0.0128, 0.0123, 0.0122"
61,0.5811934092582839,189,"defence, alliance, allies, summit, security, states, president","0.0164, 0.0141, 0.0101, 0.0095, 0.0083, 0.0076, 0.0064"
62,0.7845351915755393,186,"nuclear, reactors, energy, power, modular, decommissioning, electricity, sector","0.0631, 0.0123, 0.0117, 0.0102, 0.0082, 0.0075, 0.0072, 0.0069"
63,0.9009012605934931,184,"cladding, fire, buildings, blocks, tower, building, safety, combustible","0.0357, 0.0246, 0.0221, 0.0165, 0.0156, 0.0156, 0.0125, 0.0117"
64,0.3684306103375091,181,"bills, resolution, money, private, bill, resolutions, reading, house, members, second","0.0270, 0.0240, 0.0197, 0.0188, 0.0188, 0.0186, 0.0099, 0.0097, 0.0092, 0.0078"
65,0.8666363870169275,179,"cap, energy, price, customers, market, tariffs, consumers, switching, prices","0.0327, 0.0255, 0.0175, 0.0173, 0.0138, 0.0124, 0.0119, 0.0096, 0.0088"
66,0.816462926615951,177,"fireworks, firework, displays, bonfire, night, sale, noise, animals, pets, use","0.0706, 0.0146, 0.0124, 0.0103, 0.0083, 0.0080, 0.0079, 0.0075, 0.0074, 0.0064"
67,0.5977453860953309,176,"fire, firefighters, rescue, wear, service, reserves, services, fires, cuts","0.0557, 0.0333, 0.0205, 0.0161, 0.0133, 0.0111, 0.0069, 0.0068, 0.0068"
68,0.4506495338292206,175,"tax, budget, growth, economy, million, government, uk","0.0124, 0.0096, 0.0083, 0.0077, 0.0053, 0.0052, 0.0052"
69,0.9380475436311657,175,"gambling, betting, terminals, odds, machines, fixed, stake, addiction, gaming","0.0592, 0.0262, 0.0168, 0.0158, 0.0151, 0.0129, 0.0116, 0.0108, 0.0101"
70,0.5188855793458113,173,"abortion, northern, women, abortions, rights, woman, assembly, pregnancy, human","0.0449, 0.0192, 0.0178, 0.0097, 0.0077, 0.0076, 0.0064, 0.0062, 0.0055"
71,0.6274314455116119,171,"gender, gap, women, pay, men, reporting, data, employers, equality, companies","0.0371, 0.0308, 0.0266, 0.0231, 0.0100, 0.0092, 0.0087, 0.0086, 0.0086, 0.0084"
72,0.7295144541025272,163,"organ, donation, organs, transplant, donor, donors, opt, donate, bill","0.0317, 0.0305, 0.0199, 0.0175, 0.0127, 0.0126, 0.0116, 0.0086, 0.0081"
73,0.5797126257913437,161,"press, inquiry, newspapers, ipso, regulator, media, section, journalism, 40","0.0324, 0.0140, 0.0135, 0.0097, 0.0071, 0.0070, 0.0070, 0.0065, 0.0063"
74,0.5972563321423524,161,"marriage, civil, couples, partnerships, sex, married, partnership, same, opposite, bill","0.0417, 0.0262, 0.0244, 0.0242, 0.0172, 0.0165, 0.0089, 0.0073, 0.0069, 0.0059"
75,0.581886630694082,160,"proxy, voting, baby, leave, maternity, vote, babies, whips, pairing, procedure","0.0225, 0.0163, 0.0145, 0.0096, 0.0091, 0.0089, 0.0087, 0.0073, 0.0070, 0.0062"
76,0.6852803134216496,157,"war, memorial, armistice, centenary, world, men, remembrance, was, memorials, graves","0.0313, 0.0078, 0.0073, 0.0072, 0.0072, 0.0067, 0.0062, 0.0061, 0.0060, 0.0057"
77,0.6548378441499351,155,"bus, transport, concessionary, community, buses, operators, services, pass, commercial, travel","0.0469, 0.0227, 0.0142, 0.0142, 0.0116, 0.0089, 0.0080, 0.0076, 0.0070, 0.0069"
78,0.30636082717454693,153,"prime, deal, she, vote, her, minister, brexit, no, majority, country","0.0276, 0.0228, 0.0226, 0.0153, 0.0150, 0.0132, 0.0097, 0.0077, 0.0060, 0.0060"
79,0.6012593560059971,152,"armed, forces, army, recruitment, personnel, cadets, recruiting, regular, defence, reserve","0.0319, 0.0301, 0.0175, 0.0146, 0.0133, 0.0073, 0.0071, 0.0069, 0.0064, 0.0063"
80,0.6106662805219779,143,"cystic, fibrosis, nice, drug, drugs","0.0330, 0.0328, 0.0167, 0.0092, 0.0090"
81,0.609458046024776,143,"children, foster, care, family, carers, hubs, child, families, fostering, services","0.0241, 0.0219, 0.0139, 0.0119, 0.0107, 0.0101, 0.0099, 0.0098, 0.0096, 0.0061"
82,0.7608127368387212,143,"media, online, pornography, social, verification, internet, content, age, pornographic, material","0.0190, 0.0157, 0.0143, 0.0118, 0.0112, 0.0104, 0.0102, 0.0088, 0.0085, 0.0079"
83,0.7756613318596542,140,"parking, car, park, code, fines, private, operators, motorists, companies","0.0569, 0.0204, 0.0153, 0.0105, 0.0105, 0.0102, 0.0090, 0.0081, 0.0079"
84,0.26968164839585496,133,"order, speaker, deputy, you, point, house, record, chamber","0.0433, 0.0411, 0.0315, 0.0224, 0.0214, 0.0092, 0.0083, 0.0078"
85,0.5116388534968397,128,"detention, immigration, detained, detainees, torture, wood, vulnerable, home","0.0623, 0.0200, 0.0186, 0.0122, 0.0122, 0.0110, 0.0108, 0.0085"
86,0.7151418691142764,124,"childcare, nurseries, vouchers, parents, free, nursery, voucher, tax, hours, scheme","0.0628, 0.0218, 0.0211, 0.0177, 0.0129, 0.0115, 0.0112, 0.0106, 0.0102, 0.0101"
87,0.8811792520103147,123,"football, standing, fans, safe, supporters, seating, clubs, league, stand, club","0.0401, 0.0370, 0.0369, 0.0239, 0.0166, 0.0149, 0.0147, 0.0144, 0.0141, 0.0136"
88,0.7701272945518057,121,"road, highways, roads, route, traffic, strategic, investment","0.0261, 0.0217, 0.0100, 0.0096, 0.0093, 0.0083, 0.0082"
89,0.2753178319852309,121,"nuclear, president, region, ballistic, trump, missile, foreign","0.0186, 0.0131, 0.0130, 0.0120, 0.0113, 0.0099, 0.0098"
90,0.7424439238913932,120,"water, reservoir, flood, companies, flooding, environment, rivers","0.0705, 0.0189, 0.0150, 0.0124, 0.0096, 0.0085, 0.0085"
91,0.5425027914883246,120,"trans, gender, gay, transgender, recognition, equality, rights, pride, homophobia","0.0180, 0.0160, 0.0118, 0.0076, 0.0072, 0.0069, 0.0063, 0.0056, 0.0056"
92,0.7478337804410635,120,"wage, living, minimum, national, wages, paid, workers, pay, lowest","0.0546, 0.0232, 0.0224, 0.0127, 0.0121, 0.0116, 0.0112, 0.0108, 0.0101"
93,0.4628307773858537,119,"data, protection, commissioner, information, digital, rights, privacy, bill","0.0412, 0.0136, 0.0103, 0.0094, 0.0088, 0.0078, 0.0076, 0.0071"
94,0.6070100749486727,117,"victims, victim, justice, code, crime, criminal, rape, strategy, system, support","0.0606, 0.0170, 0.0136, 0.0128, 0.0124, 0.0121, 0.0087, 0.0077, 0.0074, 0.0065"
95,0.529192796211498,117,"healthcare, reciprocal, eu, doctors, citizens, nationals, arrangements, medical","0.0157, 0.0148, 0.0135, 0.0091, 0.0083, 0.0081, 0.0075, 0.0072"
