topic_id,cv_score,size,top_words,word_weights
-1,0.0,145891,"the, that, to, of, and, will, we, hon, is, in","0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001"
0,0.8674529489311193,3460,"schools, school, teachers, pupils, formula, funding, education, pupil, grammar, academy","0.019, 0.013, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005"
1,0.7526007464702194,2866,"housing, homes, planning, affordable, neighbourhood, land, buy, belt, built, local","0.016, 0.012, 0.008, 0.007, 0.006, 0.005, 0.005, 0.004, 0.004, 0.004"
2,0.6908018467150872,2322,"disabled, disability, pip, disabilities, esa, employment, work, people, dla, assessment","0.018, 0.012, 0.011, 0.007, 0.006, 0.005, 0.004, 0.004, 0.004, 0.004"
3,0.27114698333329573,2255,"ireland, northern, border, irish, sinn, fã, assembly, republic, agreement, executive","0.020, 0.016, 0.009, 0.008, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005"
4,0.7641320806280264,2195,"pension, pensions, women, waspi, age, retirement, pensioners, state, born, scheme","0.023, 0.012, 0.009, 0.008, 0.008, 0.006, 0.006, 0.004, 0.004, 0.004"
5,0.8437694208996338,2062,"refugees, asylum, refugee, children, unaccompanied, calais, seekers, dubs, family, reunion","0.015, 0.012, 0.009, 0.008, 0.007, 0.006, 0.005, 0.005, 0.005, 0.004"
6,0.765980306716719,2053,"tax, avoidance, evasion, territories, hmrc, corporation, overseas, companies, laundering, taxes","0.019, 0.008, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.003"
7,0.8764003115972903,1817,"rail, trains, passengers, train, franchise, network, railway, line, timetable, railways","0.015, 0.013, 0.010, 0.009, 0.008, 0.008, 0.007, 0.006, 0.006, 0.005"
8,0.48102862906464416,1708,"scottish, scotland, snp, independence, powers, parliament, devolution, referendum, kingdom, devolved","0.014, 0.014, 0.009, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004"
9,0.7603769684729179,1685,"police, policing, crime, officers, force, forces, funding, commissioner, precept, cuts","0.027, 0.015, 0.012, 0.011, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004"
10,0.9027882154007612,1682,"prison, prisons, prisoners, officers, offenders, reoffending, governors, probation, rehabilitation, hmp","0.030, 0.021, 0.015, 0.008, 0.007, 0.006, 0.005, 0.005, 0.005, 0.005"
11,0.9106336245868492,1574,"broadband, superfast, bt, fibre, mobile, rural, coverage, megabits, digital, speeds","0.028, 0.012, 0.010, 0.010, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006"
12,0.9068625219540312,1355,"fishing, fisheries, fishermen, fish, waters, coastal, industry, quota, sea, bass","0.027, 0.020, 0.015, 0.014, 0.009, 0.006, 0.006, 0.006, 0.006, 0.006"
13,0.6345417314935886,1307,"trade, customs, free, union, agreements, deals, eu, agreement, tariffs, countries","0.024, 0.012, 0.010, 0.008, 0.008, 0.007, 0.007, 0.006, 0.005, 0.005"
14,0.8753737073595307,1302,"electric, air, vehicles, diesel, charging, cars, emissions, pollution, quality, vehicle","0.017, 0.017, 0.017, 0.013, 0.011, 0.010, 0.010, 0.009, 0.008, 0.007"
15,0.6902728121747733,1280,"councils, council, local, devolution, county, rural, yorkshire, areas, authorities, settlement","0.012, 0.009, 0.008, 0.006, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004"
16,0.737896431931373,1273,"care, social, carers, adult, funding, precept, councils, local, older, council","0.024, 0.015, 0.010, 0.008, 0.005, 0.005, 0.004, 0.003, 0.003, 0.003"
17,0.8979220032238866,1273,"israel, palestinian, israeli, gaza, palestinians, settlements, peace, palestine, hamas, balfour","0.026, 0.019, 0.016, 0.015, 0.011, 0.010, 0.009, 0.009, 0.007, 0.006"
18,0.5365370141805834,1239,"referendum, voted, vote, leave, brexit, remain, union, deal, result, european","0.015, 0.008, 0.007, 0.006, 0.005, 0.004, 0.004, 0.004, 0.004, 0.003"
19,0.8152296261404723,1201,"yemen, saudi, arabia, humanitarian, conflict, arms, coalition, houthis, saudis, un","0.028, 0.023, 0.016, 0.011, 0.009, 0.009, 0.007, 0.007, 0.007, 0.006"
20,0.5817353522369537,1159,"steel, industry, tata, dumping, chinese, talbot, china, procurement, port, british","0.044, 0.013, 0.010, 0.007, 0.007, 0.006, 0.005, 0.004, 0.004, 0.004"
21,0.8809756152943312,1090,"fire, grenfell, tower, cladding, blocks, buildings, safety, building, sprinklers, residents","0.018, 0.017, 0.015, 0.014, 0.010, 0.009, 0.008, 0.007, 0.006, 0.005"
22,0.5672777004035654,1051,"mental, health, young, services, psychosis, children, parity, schools, treatment, mindfulness","0.031, 0.018, 0.007, 0.005, 0.005, 0.004, 0.003, 0.003, 0.003, 0.003"
23,0.8429039185593054,957,"homelessness, rough, homeless, sleeping, accommodation, housing, sleepers, temporary, streets, local","0.028, 0.020, 0.017, 0.016, 0.008, 0.007, 0.006, 0.005, 0.004, 0.003"
24,0.8856781341220141,944,"students, student, university, fees, higher, universities, tuition, education, loans, graduates","0.019, 0.014, 0.013, 0.010, 0.010, 0.009, 0.009, 0.008, 0.008, 0.006"
25,0.5735639791141285,942,"citizens, nationals, eu, immigration, migration, living, status, rights, here, settled","0.015, 0.013, 0.012, 0.008, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005"
26,0.6655444357520675,913,"legal, aid, court, justice, courts, magistrates, laspo, access, system, advice","0.016, 0.013, 0.012, 0.012, 0.012, 0.007, 0.005, 0.004, 0.004, 0.004"
27,0.8728197860508192,895,"cancer, cancers, breast, brain, diagnosis, tumour, screening, treatment, survival, research","0.038, 0.011, 0.011, 0.010, 0.009, 0.008, 0.007, 0.007, 0.007, 0.007"
28,0.8327289437297332,883,"syria, daesh, assad, aleppo, syrian, humanitarian, iraq, mosul, regime, russia","0.020, 0.014, 0.013, 0.011, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007"
29,0.6696268010334026,863,"shipbuilding, ships, type, navy, frigates, royal, hms, clyde, 26, defence","0.018, 0.017, 0.015, 0.014, 0.014, 0.011, 0.010, 0.009, 0.008, 0.008"
30,0.8115763141200314,850,"rohingya, burma, bangladesh, burmese, myanmar, rakhine, aung, suu, military, camps","0.024, 0.018, 0.017, 0.013, 0.011, 0.008, 0.007, 0.006, 0.006, 0.006"
31,0.6507693404330939,803,"universal, credit, roll, claimants, system, work, benefits, payments, out, payment","0.030, 0.028, 0.010, 0.007, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004"
32,0.8762975595605015,800,"drug, drugs, cannabis, substances, heroin, misuse, psychoactive, addiction, users, deaths","0.022, 0.020, 0.015, 0.009, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005"
33,0.7613340686533715,791,"rates, business, businesses, small, retail, streets, retailers, high, street, relief","0.017, 0.015, 0.012, 0.012, 0.011, 0.007, 0.007, 0.007, 0.007, 0.007"
34,0.3027503936315272,785,"give, way, minister, will, the, wil, courtesy, sat, generous, sorry","0.196, 0.141, 0.086, 0.030, 0.004, 0.002, 0.001, 0.001, 0.001, 0.001"
35,0.253989857532303,765,"give, gentleman, way, hon, will, the, gapes, hair, shooting, falling","0.164, 0.133, 0.117, 0.035, 0.025, 0.003, 0.001, 0.001, 0.001, 0.001"
36,0.7541581281174636,735,"childcare, nursery, nurseries, parents, hours, early, children, free, 30, providers","0.032, 0.017, 0.013, 0.013, 0.010, 0.010, 0.007, 0.006, 0.006, 0.006"
37,1.0,674,"russia, russian, putin, ukraine, russians, salisbury, crimea, kremlin, sanctions, ukrainian","0.027, 0.026, 0.009, 0.009, 0.006, 0.006, 0.005, 0.005, 0.004, 0.004"
38,0.28249171148221286,670,"discussions, assessment, eu, leaving, effect, uk, leaves, recent, potential, what","0.037, 0.033, 0.032, 0.030, 0.027, 0.022, 0.021, 0.021, 0.019, 0.015"
39,0.7962018579354193,654,"autism, autistic, diagnosis, spectrum, learning, awareness, mental, adults, training, disability","0.047, 0.022, 0.009, 0.009, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004"
40,0.9025438180061824,650,"religious, pakistan, religion, persecution, freedom, christians, ahmadi, belief, ahmadis, faith","0.018, 0.016, 0.014, 0.013, 0.012, 0.011, 0.011, 0.010, 0.009, 0.009"
41,0.827235780061641,646,"road, highways, roads, crossing, traffic, dartford, congestion, england, junction, potholes","0.017, 0.015, 0.012, 0.010, 0.010, 0.009, 0.007, 0.005, 0.005, 0.005"
