topic_id,cv_score,size,top_words,word_weights
-1,0.0,41656,"the, to, that, of, and, in, we, is, will, for","0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002"
0,0.750809482419122,2216,"housing, homes, homelessness, rent, affordable, local, accommodation, building, planning, buy","0.017, 0.010, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004"
1,0.8328313951249839,1237,"schools, school, funding, formula, pupil, education, pupils, teachers, children, per","0.027, 0.018, 0.015, 0.013, 0.010, 0.009, 0.009, 0.008, 0.006, 0.006"
2,0.3282944180672526,1132,"ireland, northern, border, irish, executive, agreement, fã, sinn, parties, republic","0.028, 0.024, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006"
3,0.728194454271406,964,"universal, credit, roll, claimants, system, arrears, work, payments, uc, payment","0.031, 0.029, 0.009, 0.009, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006"
4,0.5877307265407957,851,"disabled, pip, disability, disabilities, hearing, deaf, people, work, assessments, health","0.016, 0.014, 0.012, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006"
5,0.46699308644213894,825,"trade, free, union, customs, commonwealth, countries, european, eu, market, agreements","0.030, 0.012, 0.010, 0.009, 0.009, 0.008, 0.007, 0.007, 0.007, 0.007"
6,0.832977244867763,772,"vehicles, electric, driving, vehicle, air, cars, road, charging, drivers, car","0.017, 0.011, 0.010, 0.009, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007"
7,0.8741769534323399,741,"prison, prisons, prisoners, officers, offenders, justice, governors, rehabilitation, reoffending, probation","0.038, 0.024, 0.016, 0.010, 0.008, 0.006, 0.006, 0.006, 0.006, 0.005"
8,0.7527715093657935,725,"pension, women, pensions, waspi, age, retirement, pensioners, master, state, 1950s","0.026, 0.015, 0.013, 0.011, 0.010, 0.008, 0.007, 0.007, 0.006, 0.005"
9,0.8355274156292013,665,"israel, palestinian, peace, israeli, settlements, palestinians, palestine, balfour, solution, gaza","0.032, 0.021, 0.017, 0.017, 0.015, 0.014, 0.011, 0.009, 0.008, 0.008"
10,0.6568189470763139,639,"energy, ccs, carbon, fuel, customers, storage, tidal, capture, poverty, price","0.025, 0.012, 0.012, 0.011, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006"
11,0.9021588010838647,575,"broadband, fibre, superfast, rural, digital, speeds, megabits, connectivity, bt, speed","0.036, 0.016, 0.015, 0.010, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007"
12,0.5796185721131303,561,"debt, chancellor, budget, economy, growth, deficit, fiscal, economic, productivity, obr","0.011, 0.010, 0.009, 0.009, 0.008, 0.007, 0.006, 0.006, 0.006, 0.005"
13,0.48102862906464416,547,"scottish, scotland, snp, devolved, referendum, powers, independence, devolution, parliament, kingdom","0.019, 0.018, 0.011, 0.009, 0.009, 0.009, 0.008, 0.007, 0.006, 0.006"
14,0.7902200451547386,538,"yemen, saudi, humanitarian, arabia, conflict, un, arms, houthis, coalition, aid","0.033, 0.023, 0.016, 0.015, 0.011, 0.009, 0.009, 0.008, 0.008, 0.007"
15,0.8545559709819218,516,"fire, tower, grenfell, cladding, blocks, safety, buildings, inquiry, sprinklers, building","0.026, 0.019, 0.017, 0.014, 0.012, 0.011, 0.010, 0.008, 0.008, 0.008"
16,0.7272899945625322,483,"police, policing, crime, officers, forces, force, funding, bedfordshire, cuts, resources","0.042, 0.020, 0.020, 0.015, 0.008, 0.007, 0.006, 0.006, 0.005, 0.005"
17,0.846754827475293,444,"rail, trains, passengers, train, network, southern, line, railway, franchise, gtr","0.023, 0.015, 0.013, 0.013, 0.009, 0.009, 0.009, 0.008, 0.007, 0.006"
18,0.22676134459741684,438,"give, gentleman, way, hon, will, the, admonishment, satanâ, misjudged, excite","0.223, 0.193, 0.174, 0.061, 0.044, 0.006, 0.003, 0.003, 0.003, 0.003"
19,0.6026244664815983,373,"abuse, media, online, hate, internet, social, harassment, twitter, facebook, intimidation","0.016, 0.012, 0.010, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006"
20,0.8777327671780677,361,"children, dubs, refugees, unaccompanied, calais, greece, refugee, dublin, italy, asylum","0.022, 0.017, 0.014, 0.014, 0.011, 0.011, 0.010, 0.010, 0.008, 0.008"
21,0.8316309065082701,342,"apprenticeships, apprentices, apprenticeship, education, technical, careers, skills, young, colleges, employers","0.030, 0.020, 0.017, 0.013, 0.013, 0.012, 0.012, 0.008, 0.007, 0.006"
22,0.8629694825306411,333,"students, student, fees, university, tuition, education, higher, loans, universities, debt","0.024, 0.020, 0.018, 0.016, 0.014, 0.012, 0.011, 0.010, 0.009, 0.009"
23,0.5478154431030064,323,"law, clause, eu, exit, legislation, amendment, retained, bill, powers, amendments","0.014, 0.013, 0.011, 0.010, 0.009, 0.009, 0.008, 0.008, 0.007, 0.006"
24,1.0,319,"rohingya, burma, myanmar, bangladesh, burmese, military, rakhine, aung, suu, kyi","0.030, 0.018, 0.018, 0.018, 0.015, 0.011, 0.011, 0.010, 0.010, 0.010"
25,0.7671799144818592,313,"bus, buses, franchising, transport, operators, services, passengers, authorities, local, manchester","0.047, 0.017, 0.015, 0.014, 0.014, 0.011, 0.010, 0.009, 0.007, 0.007"
26,0.6127714091026566,308,"wales, welsh, projects, growth, structural, cardiff, government, north, european, infrastructure","0.042, 0.031, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.005, 0.004"
27,1.0,304,"daesh, iraq, syria, mosul, iraqi, kurdistan, assad, kurdish, raqqa, forces","0.032, 0.023, 0.020, 0.018, 0.017, 0.015, 0.011, 0.009, 0.008, 0.008"
28,0.7692020116754863,304,"jobcentre, jobcentres, glasgow, dwp, closures, closure, claimants, staff, estate, travel","0.028, 0.024, 0.022, 0.012, 0.012, 0.008, 0.007, 0.006, 0.006, 0.006"
29,0.550531238780213,301,"referendum, voted, leave, vote, remain, result, union, european, eu, decision","0.021, 0.012, 0.009, 0.009, 0.006, 0.005, 0.005, 0.005, 0.005, 0.005"
30,0.6096036568406615,299,"mental, health, young, children, schools, services, school, green, teachers, wellbeing","0.045, 0.030, 0.013, 0.009, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005"
31,0.7520048787407586,299,"care, social, adult, funding, local, councils, precept, carers, council, cuts","0.039, 0.025, 0.013, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005"
32,0.2612212681906198,289,"give, way, minister, will, the, wil, sometime, potholes, enact, resist","0.269, 0.209, 0.141, 0.053, 0.007, 0.006, 0.004, 0.004, 0.004, 0.004"
33,0.48112762943205534,287,"citizens, nationals, eu, living, uk, rights, status, here, settled, negotiations","0.027, 0.024, 0.022, 0.013, 0.011, 0.010, 0.009, 0.008, 0.007, 0.007"
34,0.6828578985456851,281,"navy, hms, ships, type, royal, shipbuilding, amphibious, capability, frigates, defence","0.018, 0.017, 0.017, 0.016, 0.015, 0.015, 0.015, 0.014, 0.014, 0.011"
35,0.6433801003124293,278,"nuclear, euratom, safeguards, industry, membership, isotopes, energy, safeguarding, fusion, radioisotopes","0.047, 0.039, 0.009, 0.008, 0.008, 0.008, 0.008, 0.006, 0.005, 0.005"
36,0.7210572595673572,260,"pubs, pub, beer, duty, code, adjudicator, alcohol, tenants, breweries, industry","0.039, 0.027, 0.026, 0.013, 0.011, 0.009, 0.007, 0.006, 0.006, 0.006"
37,0.8183856581839917,244,"farmers, agricultural, farming, seasonal, food, fruit, agriculture, workers, industry, sector","0.028, 0.021, 0.021, 0.016, 0.014, 0.012, 0.012, 0.010, 0.009, 0.007"
38,0.6990384690250908,232,"bereavement, funeral, baby, loss, parents, burial, child, bereaved, neonatal, maternity","0.019, 0.013, 0.010, 0.010, 0.009, 0.008, 0.008, 0.007, 0.007, 0.006"
39,0.6683062341048053,225,"hospital, ccg, trust, care, services, hospitals, nhs, stp, clinical, consultation","0.022, 0.010, 0.010, 0.009, 0.008, 0.008, 0.007, 0.006, 0.006, 0.006"
40,0.6357884222186394,218,"northern, ireland, terrorists, soldiers, forces, troubles, stormont, served, legacy, ira","0.012, 0.012, 0.010, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007"
41,0.6575136823140192,212,"armed, forces, personnel, pay, army, recruitment, service, flexible, retention, defence","0.029, 0.026, 0.014, 0.011, 0.011, 0.008, 0.007, 0.006, 0.005, 0.005"
42,0.5293694363022626,211,"tax, avoidance, evasion, papers, hmrc, offshore, companies, havens, isle, paradise","0.036, 0.026, 0.015, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006"
43,0.6427090689932871,205,"travellers, traveller, encampments, gypsy, sites, unauthorised, illegal, gypsies, community, police","0.024, 0.023, 0.020, 0.015, 0.013, 0.012, 0.011, 0.010, 0.009, 0.008"
44,0.5704877502294405,204,"pay, sector, public, workers, cap, rise, bodies, wages, servants, nurses","0.031, 0.029, 0.026, 0.021, 0.017, 0.008, 0.006, 0.005, 0.005, 0.005"
45,0.25552929311599204,202,"lady, give, way, hon, will, itching, the, she, plough, chat","0.248, 0.208, 0.160, 0.056, 0.041, 0.006, 0.006, 0.005, 0.005, 0.005"
46,0.7055249653360124,194,"slavery, detention, torture, trafficking, modern, asylum, victims, immigration, detained, vulnerable","0.022, 0.021, 0.019, 0.014, 0.012, 0.011, 0.010, 0.009, 0.007, 0.007"
47,0.46187293331457735,191,"bbc, licence, fee, news, media, channel, local, newspapers, radio, tv","0.055, 0.014, 0.013, 0.011, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006"
48,0.5066008152227864,189,"post, office, mail, offices, royal, delivery, branches, postal, crown, closures","0.051, 0.034, 0.026, 0.021, 0.015, 0.010, 0.010, 0.010, 0.009, 0.009"
49,0.4564769569481262,187,"gerald, his, he, member, you, speaker, house, thank, was, speech","0.017, 0.009, 0.008, 0.007, 0.007, 0.007, 0.007, 0.005, 0.005, 0.005"
50,0.6493883966372778,185,"amendment, amendments, clause, legislation, bill, learned, instruments, schedule, committee, powers","0.016, 0.015, 0.014, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005"
51,0.8091218156112168,185,"drug, drugs, addiction, misuse, cannabis, heroin, alcohol, deaths, strategy, treatment","0.036, 0.032, 0.013, 0.011, 0.011, 0.010, 0.010, 0.010, 0.009, 0.009"
52,0.38327521731968806,180,"warrant, arrest, europol, european, operation, co, justice, eu, criminal, security","0.021, 0.021, 0.017, 0.014, 0.010, 0.010, 0.010, 0.009, 0.009, 0.009"
53,0.5207769716339875,172,"charter, rights, law, fundamental, human, court, eu, protection, european, case","0.052, 0.033, 0.018, 0.014, 0.011, 0.007, 0.006, 0.006, 0.006, 0.006"
