topic_id,cv_score,size,top_words,word_weights
0,0.6870695431748144,6551,"housing, homes, planning, homelessness, local, affordable, neighbourhood, rent, supported, buy","0.0183, 0.0104, 0.0073, 0.0065, 0.0055, 0.0053, 0.0049, 0.0048, 0.0044, 0.0043"
1,0.8459991202245085,3719,"schools, school, education, grammar, teachers, pupils, academies, academy, children, funding","0.0253, 0.0156, 0.0098, 0.0095, 0.0084, 0.0078, 0.0077, 0.0072, 0.0061, 0.0059"
2,0.5787915123047125,3233,"referendum, union, eu, article, leave, vote, 50, voted","0.0106, 0.0077, 0.0069, 0.0066, 0.0054, 0.0052, 0.0052, 0.0039"
3,0.8446637935136924,2347,"energy, climate, carbon, wind, fuel, renewables, renewable, onshore, change, electricity","0.0207, 0.0106, 0.0104, 0.0093, 0.0069, 0.0068, 0.0063, 0.0063, 0.0058, 0.0057"
5,0.7409407539574621,2249,"hospital, care, health, hospitals, patients, ambulance, services, trust, service","0.0117, 0.0072, 0.0068, 0.0066, 0.0064, 0.0059, 0.0052, 0.0051, 0.0042"
6,0.7874793577354842,2044,"pension, women, pensions, age, retirement, state, pensioners, changes, born","0.0285, 0.0140, 0.0140, 0.0108, 0.0073, 0.0068, 0.0060, 0.0058, 0.0055"
7,0.38031209132641725,2703,"kingdom, united, parliament, powers, referendum, independence, union","0.0067, 0.0059, 0.0056, 0.0055, 0.0053, 0.0052, 0.0049"
8,0.6098481709514576,2680,"disabled, disability, work, employment, people, disabilities, support, paper","0.0222, 0.0143, 0.0091, 0.0088, 0.0079, 0.0078, 0.0064, 0.0048"
9,0.7836584785288896,1320,"charter, licence, diversity, fee, radio, channel, broadcasting, editorial","0.0119, 0.0079, 0.0077, 0.0073, 0.0066, 0.0065, 0.0062, 0.0052"
10,0.5817353522369537,1041,"steel, industry, dumping, china, port, procurement","0.0419, 0.0168, 0.0073, 0.0069, 0.0057, 0.0049"
11,0.7918939341702166,2272,"prison, prisons, prisoners, officers, offenders, staff, rehabilitation, governors, justice, reform","0.0394, 0.0295, 0.0188, 0.0117, 0.0077, 0.0074, 0.0064, 0.0062, 0.0057, 0.0055"
12,0.8473599188514834,2793,"rail, trains, train, passengers, network, line, franchise, railway, station, compensation","0.0176, 0.0151, 0.0114, 0.0109, 0.0100, 0.0095, 0.0090, 0.0066, 0.0061, 0.0060"
13,0.8125537181004946,1704,"arms, humanitarian, conflict, cluster, munitions, coalition, international","0.0121, 0.0110, 0.0091, 0.0090, 0.0085, 0.0076, 0.0069"
14,0.8956059085973411,1688,"broadband, mobile, superfast, rural, coverage, megabits, digital","0.0281, 0.0108, 0.0105, 0.0098, 0.0092, 0.0076, 0.0071"
15,0.4453378879271405,1068,"assembly, devolution, powers, bill, jurisdiction, devolved, reserved, language","0.0180, 0.0077, 0.0072, 0.0070, 0.0052, 0.0050, 0.0049, 0.0047"
16,0.7578899090186251,2141,"police, officers, policing, crime, officer, force, neighbourhood, forces, formula, chief","0.0374, 0.0177, 0.0167, 0.0127, 0.0069, 0.0064, 0.0059, 0.0052, 0.0050, 0.0050"
17,0.7698825860233188,1033,"flood, flooding, floods, defences, insurance, businesses, flooded, environment, river","0.0317, 0.0184, 0.0143, 0.0102, 0.0087, 0.0079, 0.0074, 0.0067, 0.0062"
18,0.8316401111231752,1458,"cancer, drugs, brain, research, patients, cancers, medicines, tumour, treatments, drug","0.0260, 0.0146, 0.0109, 0.0097, 0.0093, 0.0087, 0.0069, 0.0066, 0.0065, 0.0064"
19,0.6719410186548178,1155,"powers, bulk, bill, privacy, data, warrants, security, judicial, investigatory, communications","0.0118, 0.0108, 0.0102, 0.0082, 0.0082, 0.0066, 0.0063, 0.0063, 0.0059, 0.0058"
20,0.8362349590402111,1158,"children, refugees, unaccompanied, refugee, asylum, camp, family","0.0192, 0.0139, 0.0130, 0.0094, 0.0090, 0.0083, 0.0078"
21,0.6016519258699227,1607,"bank, banks, banking, financial, branch, branches, treasury, regulation","0.0204, 0.0145, 0.0132, 0.0086, 0.0060, 0.0043, 0.0040, 0.0037"
22,0.7509283818166158,944,"violence, domestic, women, abuse, victims, girls, against, men, refuges, convention","0.0290, 0.0201, 0.0198, 0.0128, 0.0099, 0.0089, 0.0085, 0.0081, 0.0058, 0.0058"
23,0.671316939797202,698,"tax, avoidance, google, evasion, territories, companies, overseas, dependencies, beneficial","0.0289, 0.0122, 0.0108, 0.0097, 0.0094, 0.0087, 0.0075, 0.0073, 0.0072"
