topic_id,cv_score,size,top_words,word_weights
0,0.8674529489311193,3460,"schools, school, teachers, pupils, formula, funding, education, pupil, grammar, academy","0.0195, 0.0127, 0.0073, 0.0072, 0.0066, 0.0066, 0.0066, 0.0063, 0.0056, 0.0055"
1,0.7526007464702194,2866,"housing, homes, planning, affordable, neighbourhood, land, buy, belt, built, local","0.0161, 0.0118, 0.0082, 0.0068, 0.0064, 0.0046, 0.0046, 0.0044, 0.0043, 0.0043"
2,0.6908018467150872,2322,"disabled, disability, disabilities, employment, work, people, assessment","0.0179, 0.0123, 0.0070, 0.0051, 0.0044, 0.0043, 0.0037"
3,0.27114698333329573,2255,"northern, border, assembly, republic, agreement, executive","0.0164, 0.0094, 0.0054, 0.0053, 0.0052, 0.0051"
4,0.7641320806280264,2195,"pension, pensions, women, age, retirement, pensioners, state, born, scheme","0.0229, 0.0125, 0.0091, 0.0075, 0.0065, 0.0059, 0.0039, 0.0039, 0.0038"
5,0.8437694208996338,2062,"refugees, asylum, refugee, children, unaccompanied, seekers, family, reunion","0.0148, 0.0115, 0.0091, 0.0078, 0.0067, 0.0055, 0.0045, 0.0044"
6,0.765980306716719,2053,"tax, avoidance, evasion, territories, corporation, overseas, companies, laundering, taxes","0.0187, 0.0081, 0.0063, 0.0053, 0.0046, 0.0045, 0.0044, 0.0036, 0.0035"
7,0.8764003115972903,1817,"rail, trains, passengers, train, franchise, network, railway, line, timetable, railways","0.0147, 0.0129, 0.0100, 0.0089, 0.0084, 0.0076, 0.0066, 0.0064, 0.0057, 0.0047"
8,0.48102862906464416,1708,"independence, powers, parliament, devolution, referendum, kingdom, devolved","0.0059, 0.0055, 0.0054, 0.0051, 0.0050, 0.0046, 0.0045"
9,0.7603769684729179,1685,"police, policing, crime, officers, force, forces, funding, commissioner, precept, cuts","0.0268, 0.0146, 0.0122, 0.0113, 0.0052, 0.0046, 0.0045, 0.0041, 0.0040, 0.0039"
10,0.9027882154007612,1682,"prison, prisons, prisoners, officers, offenders, reoffending, governors, probation, rehabilitation","0.0298, 0.0205, 0.0147, 0.0078, 0.0065, 0.0062, 0.0055, 0.0051, 0.0049"
11,0.9106336245868492,1574,"broadband, superfast, fibre, mobile, rural, coverage, megabits, digital, speeds","0.0280, 0.0117, 0.0104, 0.0079, 0.0078, 0.0073, 0.0071, 0.0060, 0.0058"
12,0.9068625219540312,1355,"fishing, fisheries, fishermen, fish, waters, coastal, industry, quota, sea, bass","0.0266, 0.0198, 0.0150, 0.0141, 0.0094, 0.0065, 0.0058, 0.0057, 0.0057, 0.0056"
13,0.6345417314935886,1307,"trade, customs, free, union, agreements, deals, eu, agreement, tariffs, countries","0.0242, 0.0123, 0.0099, 0.0084, 0.0079, 0.0075, 0.0065, 0.0057, 0.0055, 0.0053"
14,0.8753737073595307,1302,"electric, air, vehicles, diesel, charging, cars, emissions, pollution, quality, vehicle","0.0170, 0.0168, 0.0167, 0.0126, 0.0106, 0.0104, 0.0096, 0.0090, 0.0076, 0.0070"
15,0.6902728121747733,1280,"councils, council, local, devolution, county, rural, areas, authorities, settlement","0.0116, 0.0094, 0.0075, 0.0058, 0.0050, 0.0044, 0.0043, 0.0043, 0.0038"
16,0.737896431931373,1273,"care, social, carers, adult, funding, precept, councils, local, older, council","0.0245, 0.0147, 0.0104, 0.0076, 0.0048, 0.0046, 0.0040, 0.0033, 0.0033, 0.0029"
18,0.5365370141805834,1239,"referendum, voted, vote, leave, brexit, remain, union, deal, result","0.0148, 0.0081, 0.0073, 0.0061, 0.0047, 0.0039, 0.0037, 0.0036, 0.0036"
19,0.8152296261404723,1201,"humanitarian, conflict, arms, coalition","0.0111, 0.0089, 0.0089, 0.0073"
20,0.5817353522369537,1159,"steel, industry, dumping, china, procurement, port","0.0439, 0.0130, 0.0070, 0.0052, 0.0044, 0.0043"
21,0.8809756152943312,1090,"fire, tower, cladding, blocks, buildings, safety, building, sprinklers, residents","0.0177, 0.0149, 0.0142, 0.0100, 0.0086, 0.0077, 0.0066, 0.0056, 0.0054"
22,0.5672777004035654,1051,"mental, health, young, services, psychosis, children, parity, schools, treatment, mindfulness","0.0313, 0.0179, 0.0067, 0.0048, 0.0046, 0.0038, 0.0034, 0.0033, 0.0032, 0.0032"
23,0.8429039185593054,957,"homelessness, rough, homeless, sleeping, accommodation, housing, sleepers, temporary, streets, local","0.0279, 0.0197, 0.0168, 0.0165, 0.0080, 0.0070, 0.0064, 0.0048, 0.0045, 0.0033"
24,0.8856781341220141,944,"students, student, university, fees, higher, universities, tuition, education, loans, graduates","0.0187, 0.0136, 0.0133, 0.0096, 0.0096, 0.0091, 0.0087, 0.0085, 0.0077, 0.0055"
25,0.5735639791141285,942,"citizens, nationals, eu, immigration, migration, living, status, rights, here, settled","0.0150, 0.0134, 0.0116, 0.0080, 0.0062, 0.0059, 0.0057, 0.0057, 0.0055, 0.0046"
26,0.6655444357520675,913,"legal, aid, court, justice, courts, magistrates, access, system, advice","0.0160, 0.0134, 0.0124, 0.0121, 0.0120, 0.0068, 0.0044, 0.0044, 0.0043"
27,0.8728197860508192,895,"cancer, cancers, breast, brain, diagnosis, tumour, screening, treatment, survival, research","0.0383, 0.0107, 0.0106, 0.0103, 0.0086, 0.0079, 0.0073, 0.0072, 0.0071, 0.0069"
29,0.6696268010334026,863,"shipbuilding, ships, type, navy, frigates, royal, 26, defence","0.0185, 0.0166, 0.0147, 0.0137, 0.0137, 0.0112, 0.0078, 0.0078"
31,0.6507693404330939,803,"universal, credit, roll, claimants, system, work, benefits, payments, out, payment","0.0304, 0.0276, 0.0099, 0.0070, 0.0053, 0.0047, 0.0041, 0.0038, 0.0035, 0.0035"
32,0.8762975595605015,800,"drug, drugs, cannabis, substances, heroin, misuse, psychoactive, addiction, users, deaths","0.0216, 0.0200, 0.0149, 0.0086, 0.0066, 0.0063, 0.0060, 0.0053, 0.0049, 0.0048"
33,0.7613340686533715,791,"rates, business, businesses, small, retail, streets, retailers, high, street, relief","0.0166, 0.0148, 0.0119, 0.0116, 0.0108, 0.0072, 0.0072, 0.0072, 0.0069, 0.0067"
34,0.3027503936315272,785,"give, way, minister, will, the, courtesy, sat, generous, sorry","0.1963, 0.1405, 0.0859, 0.0301, 0.0037, 0.0013, 0.0010, 0.0008, 0.0008"
35,0.253989857532303,765,"give, gentleman, way, hon, will, the, hair, shooting, falling","0.1640, 0.1325, 0.1172, 0.0347, 0.0252, 0.0031, 0.0011, 0.0009, 0.0007"
36,0.7541581281174636,735,"childcare, nursery, nurseries, parents, hours, early, children, free, 30, providers","0.0319, 0.0167, 0.0134, 0.0126, 0.0102, 0.0102, 0.0068, 0.0063, 0.0063, 0.0062"
