operation,total,mean,min,max,count
data_loading,4.958573818206787,4.958573818206787,4.958573818206787,4.958573818206787,1
document_preprocessing,0.2724182605743408,0.2724182605743408,0.2724182605743408,0.2724182605743408,1
document_preparation,32.13897085189819,32.13897085189819,32.13897085189819,32.13897085189819,1
model_initialization,2.737034320831299,2.737034320831299,2.737034320831299,2.737034320831299,1
umap_init,9.393692016601562e-05,9.393692016601562e-05,9.393692016601562e-05,9.393692016601562e-05,1
bertopic_init,0.0014379024505615234,0.0014379024505615234,0.0014379024505615234,0.0014379024505615234,1
model_fitting,236.55262303352356,236.55262303352356,236.55262303352356,236.55262303352356,1
topic_extraction,0.01847243309020996,0.01847243309020996,0.01847243309020996,0.01847243309020996,1
coherence_calculation,449.86051535606384,449.86051535606384,449.86051535606384,449.86051535606384,1
process_topic_-1,0.0010395050048828125,0.0010395050048828125,0.0010395050048828125,0.0010395050048828125,1
individual_topic_coherence,1143.4062631130219,57.170313155651094,53.13764047622681,92.26781368255615,20
process_topic_0,92.26956915855408,92.26956915855408,92.26956915855408,92.26956915855408,1
process_topic_1,55.58418655395508,55.58418655395508,55.58418655395508,55.58418655395508,1
process_topic_2,56.44858717918396,56.44858717918396,56.44858717918396,56.44858717918396,1
process_topic_3,55.46272134780884,55.46272134780884,55.46272134780884,55.46272134780884,1
process_topic_4,56.24587082862854,56.24587082862854,56.24587082862854,56.24587082862854,1
process_topic_5,56.476497650146484,56.476497650146484,56.476497650146484,56.476497650146484,1
process_topic_6,56.60235667228699,56.60235667228699,56.60235667228699,56.60235667228699,1
process_topic_7,53.21962523460388,53.21962523460388,53.21962523460388,53.21962523460388,1
process_topic_8,54.53413486480713,54.53413486480713,54.53413486480713,54.53413486480713,1
process_topic_9,54.79636359214783,54.79636359214783,54.79636359214783,54.79636359214783,1
process_topic_10,53.13922619819641,53.13922619819641,53.13922619819641,53.13922619819641,1
process_topic_11,54.54158806800842,54.54158806800842,54.54158806800842,54.54158806800842,1
process_topic_12,54.624568939208984,54.624568939208984,54.624568939208984,54.624568939208984,1
process_topic_13,54.65014314651489,54.65014314651489,54.65014314651489,54.65014314651489,1
process_topic_14,54.92806553840637,54.92806553840637,54.92806553840637,54.92806553840637,1
process_topic_15,57.04601001739502,57.04601001739502,57.04601001739502,57.04601001739502,1
process_topic_16,57.75679588317871,57.75679588317871,57.75679588317871,57.75679588317871,1
process_topic_17,54.54433631896973,54.54433631896973,54.54433631896973,54.54433631896973,1
process_topic_18,55.520785093307495,55.520785093307495,55.520785093307495,55.520785093307495,1
process_topic_19,55.04799151420593,55.04799151420593,55.04799151420593,55.04799151420593,1
topic_analysis,1143.4571573734283,1143.4571573734283,1143.4571573734283,1143.4571573734283,1
save_results,1143.4646015167236,1143.4646015167236,1143.4646015167236,1143.4646015167236,1
