operation,iteration,time
data_loading,1,4.172420024871826
document_preprocessing,1,0.2371683120727539
document_preparation,1,33.845924615859985
model_initialization,1,2.65602445602417
umap_init,1,7.724761962890625e-05
bertopic_init,1,0.0013740062713623047
model_fitting,1,48.11344003677368
topic_extraction,1,0.006254434585571289
coherence_calculation,1,115.18731713294983
process_topic_-1,1,0.0005342960357666016
individual_topic_coherence,1,50.464415550231934
individual_topic_coherence,2,52.20933961868286
individual_topic_coherence,3,52.51711368560791
individual_topic_coherence,4,53.339558362960815
individual_topic_coherence,5,52.49767804145813
individual_topic_coherence,6,54.23415493965149
individual_topic_coherence,7,50.72606158256531
individual_topic_coherence,8,50.63919997215271
individual_topic_coherence,9,51.50871825218201
individual_topic_coherence,10,50.28495407104492
individual_topic_coherence,11,48.42999196052551
individual_topic_coherence,12,48.68173956871033
individual_topic_coherence,13,50.981292724609375
individual_topic_coherence,14,51.44050049781799
individual_topic_coherence,15,50.12877154350281
individual_topic_coherence,16,51.50918960571289
individual_topic_coherence,17,54.139737606048584
individual_topic_coherence,18,52.140289068222046
individual_topic_coherence,19,54.23870849609375
individual_topic_coherence,20,51.957608222961426
process_topic_0,1,50.46575999259949
process_topic_1,1,52.21081566810608
process_topic_2,1,52.51862835884094
process_topic_3,1,53.341142416000366
process_topic_4,1,52.500059604644775
process_topic_5,1,54.235843658447266
process_topic_6,1,50.72762703895569
process_topic_7,1,50.64076590538025
process_topic_8,1,51.51061820983887
process_topic_9,1,50.28665804862976
process_topic_10,1,48.432682514190674
process_topic_11,1,48.68395113945007
process_topic_12,1,50.98298358917236
process_topic_13,1,51.4421284198761
process_topic_14,1,50.130255699157715
process_topic_15,1,51.51066184043884
process_topic_16,1,54.14124774932861
process_topic_17,1,52.14186215400696
process_topic_18,1,54.24025917053223
process_topic_19,1,51.95920777320862
topic_analysis,1,1032.109207868576
save_results,1,1032.1152579784393
