run_number,topic_id,size,words,weights
1,0,1500,"scottish, scotland, snp, devolution, welsh, parliament, devolved, powers, independence, grab","0.0103, 0.0092, 0.0068, 0.0056, 0.0051, 0.0043, 0.0043, 0.0039, 0.0034, 0.0030"
1,1,1074,"schools, school, teachers, education, pupil, funding, pupils, formula, academy, academies","0.0202, 0.0133, 0.0087, 0.0072, 0.0072, 0.0068, 0.0067, 0.0050, 0.0046, 0.0041"
1,2,968,"nhs, hospital, health, patients, care, winter, trusts, service, privatisation, hospitals","0.0149, 0.0082, 0.0053, 0.0053, 0.0047, 0.0043, 0.0036, 0.0035, 0.0034, 0.0033"
1,3,943,"police, policing, crime, officers, settlement, funding, commissioner, force, cuts, resources","0.0225, 0.0115, 0.0113, 0.0098, 0.0048, 0.0045, 0.0044, 0.0043, 0.0042, 0.0040"
1,4,664,"universal, credit, roll, claimants, uc, benefits, work, system, jobcentre, legacy","0.0255, 0.0237, 0.0081, 0.0065, 0.0051, 0.0045, 0.0042, 0.0041, 0.0039, 0.0032"
1,5,604,"referendum, voted, vote, leave, brexit, second, result, european, union, deal","0.0146, 0.0082, 0.0064, 0.0058, 0.0049, 0.0041, 0.0035, 0.0035, 0.0035, 0.0029"
1,6,575,"russia, russian, ukraine, putin, salisbury, russians, crimea, attack, sanctions, allies","0.0204, 0.0198, 0.0069, 0.0069, 0.0058, 0.0048, 0.0042, 0.0042, 0.0041, 0.0035"
1,7,566,"fishing, fisheries, fishermen, fish, waters, coastal, common, quota, cfp, industry","0.0227, 0.0224, 0.0149, 0.0127, 0.0117, 0.0091, 0.0064, 0.0061, 0.0060, 0.0058"
1,8,551,"care, social, adult, carers, funding, dementia, green, councils, older, paper","0.0231, 0.0146, 0.0077, 0.0076, 0.0046, 0.0040, 0.0039, 0.0039, 0.0033, 0.0031"
1,9,529,"councils, council, local, county, northamptonshire, funding, authorities, cuts, services, tax","0.0132, 0.0116, 0.0097, 0.0068, 0.0067, 0.0056, 0.0053, 0.0047, 0.0044, 0.0040"
2,0,1513,"scottish, scotland, snp, devolution, welsh, devolved, parliament, powers, independence, consent","0.0101, 0.0090, 0.0064, 0.0054, 0.0049, 0.0044, 0.0042, 0.0038, 0.0034, 0.0030"
2,1,758,"police, policing, officers, crime, settlement, funding, commissioner, force, midlands, cuts","0.0240, 0.0118, 0.0107, 0.0103, 0.0053, 0.0048, 0.0048, 0.0048, 0.0043, 0.0043"
2,2,713,"schools, school, teachers, pupil, funding, education, formula, pupils, academies, academy","0.0225, 0.0144, 0.0104, 0.0082, 0.0081, 0.0071, 0.0057, 0.0057, 0.0052, 0.0052"
2,3,670,"universal, credit, roll, claimants, uc, benefits, system, work, jobcentre, claim","0.0256, 0.0237, 0.0082, 0.0065, 0.0048, 0.0043, 0.0041, 0.0040, 0.0039, 0.0031"
2,4,535,"russian, russia, ukraine, putin, salisbury, russians, crimea, attack, nerve, gru","0.0208, 0.0200, 0.0075, 0.0066, 0.0060, 0.0046, 0.0045, 0.0042, 0.0037, 0.0036"
2,5,515,"fishing, fisheries, fishermen, fish, waters, coastal, common, cfp, quota, industry","0.0235, 0.0216, 0.0141, 0.0127, 0.0105, 0.0078, 0.0064, 0.0061, 0.0059, 0.0056"
2,6,511,"gaza, israel, israeli, palestinian, hamas, palestinians, palestine, peace, ahmar, jerusalem","0.0212, 0.0199, 0.0145, 0.0137, 0.0115, 0.0081, 0.0056, 0.0053, 0.0045, 0.0041"
2,7,506,"councils, council, local, county, northamptonshire, funding, authorities, cuts, services, tax","0.0133, 0.0115, 0.0098, 0.0068, 0.0067, 0.0056, 0.0054, 0.0048, 0.0045, 0.0040"
2,8,476,"cancer, breast, screening, cancers, treatment, diagnosis, survival, blood, patients, radiotherapy","0.0362, 0.0120, 0.0093, 0.0080, 0.0077, 0.0071, 0.0066, 0.0064, 0.0058, 0.0054"
2,9,463,"ireland, northern, assembly, executive, sinn, fa, decisions, stormont, parties, devolved","0.0147, 0.0147, 0.0082, 0.0071, 0.0069, 0.0066, 0.0059, 0.0056, 0.0051, 0.0047"
3,0,1482,"scottish, scotland, snp, devolution, welsh, parliament, devolved, powers, independence, consent","0.0105, 0.0093, 0.0068, 0.0057, 0.0051, 0.0044, 0.0043, 0.0040, 0.0035, 0.0030"
3,1,1397,"windrush, immigration, citizens, generation, home, status, citizenship, here, eu, migration","0.0112, 0.0092, 0.0071, 0.0065, 0.0060, 0.0038, 0.0038, 0.0037, 0.0036, 0.0034"
3,2,946,"schools, school, teachers, pupil, education, funding, pupils, formula, academy, academies","0.0220, 0.0142, 0.0095, 0.0084, 0.0076, 0.0075, 0.0067, 0.0057, 0.0049, 0.0046"
3,3,750,"police, policing, officers, crime, settlement, funding, force, commissioner, precept, cuts","0.0241, 0.0121, 0.0106, 0.0105, 0.0054, 0.0051, 0.0050, 0.0045, 0.0043, 0.0043"
3,4,676,"universal, credit, roll, claimants, uc, benefits, work, system, jobcentre, claim","0.0259, 0.0240, 0.0081, 0.0063, 0.0051, 0.0043, 0.0042, 0.0041, 0.0041, 0.0032"
3,5,603,"border, ireland, irish, northern, republic, customs, hard, between, agreement, union","0.0219, 0.0169, 0.0112, 0.0109, 0.0085, 0.0067, 0.0063, 0.0050, 0.0049, 0.0046"
3,6,574,"legal, justice, aid, courts, court, judges, bar, magistrates, laspo, advice","0.0120, 0.0106, 0.0102, 0.0097, 0.0092, 0.0055, 0.0054, 0.0052, 0.0044, 0.0044"
3,7,572,"fishing, fisheries, fishermen, fish, waters, coastal, common, industry, cfp, quota","0.0239, 0.0222, 0.0146, 0.0124, 0.0121, 0.0091, 0.0069, 0.0060, 0.0057, 0.0054"
3,8,505,"councils, council, local, northamptonshire, county, funding, authorities, cuts, services, tax","0.0130, 0.0115, 0.0100, 0.0072, 0.0068, 0.0056, 0.0054, 0.0048, 0.0046, 0.0038"
3,9,493,"russian, russia, ukraine, putin, salisbury, russians, nerve, crimea, attack, gru","0.0204, 0.0203, 0.0072, 0.0063, 0.0062, 0.0047, 0.0043, 0.0042, 0.0042, 0.0038"
4,0,1175,"trade, customs, union, agreements, deals, free, eu, trading, countries, tariffs","0.0140, 0.0112, 0.0066, 0.0066, 0.0050, 0.0050, 0.0048, 0.0041, 0.0036, 0.0035"
4,1,912,"police, policing, crime, officers, settlement, force, funding, commissioner, cuts, resources","0.0225, 0.0118, 0.0113, 0.0098, 0.0047, 0.0045, 0.0044, 0.0042, 0.0041, 0.0040"
4,2,677,"universal, credit, roll, claimants, uc, benefits, work, system, jobcentre, nao","0.0251, 0.0232, 0.0082, 0.0063, 0.0051, 0.0043, 0.0041, 0.0040, 0.0037, 0.0033"
