topic_id,topic_name,size
-1,-1_hon_right_friend_would,33840
0,0_schools_school_education_children,2688
1,1_housing_homes_planning_homelessness,1976
2,2_ireland_northern_paramilitary_irish,981
3,3_steel_industry_tata_chinese,957
4,4_scottish_scotland_snp_scotlands,953
5,5_welsh_wales_assembly_devolution,925
6,6_pension_pensions_women_age,852
7,7_rail_trains_train_passengers,793
8,8_disabled_disability_pip_employment,711
9,9_saudi_yemen_arabia_humanitarian,703
10,10_tax_avoidance_corporation_hmrc,695
11,11_students_universities_university_higher,545
12,12_cancer_drugs_brain_cancers,530
13,13_flood_flooding_floods_defences,521
14,14_police_officers_policing_crime,513
15,15_children_unaccompanied_calais_french,500
16,16_doctors_junior_bma_contract,483
17,17_prison_prisons_prisoners_officers,482
18,18_chancellor_budget_fiscal_deficit,477
19,19_speaker_order_deputy_madam,476
20,20_broadband_bt_superfast_mobile,456
21,21_violence_domestic_women_abuse,406
22,22_give_gentleman_way_hon,396
23,23_mental_health_young_psychosis,382
24,24_pharmacies_pharmacy_pharmacists_community,382
25,25_councils_council_local_rural,370
26,26_give_way_minister_sorryhas,364
27,27_airport_airports_noise_heathrow,345
28,28_eu_european_union_referendum,327
29,29_israel_palestinian_israeli_palestinians,315
30,30_fishing_fisheries_fishermen_fish,298
31,31_iraq_chilcot_blair_war,286
32,32_aleppo_syria_assad_russia,276
33,33_concentrix_hmrc_contract_credits,263
34,34_gentleman_lady_intervention_give,255
35,35_apprenticeships_apprenticeship_apprentices_levy,255
36,36_lady_give_way_hon,253
37,37_nurses_nursing_nurse_student,242
38,38_universal_credit_income_credits,226
39,39_wage_living_minimum_pay,221
40,40_nuclear_deterrent_weapons_trident,220
41,41_bbc_radio_fee_licence,214
42,42_offenders_deportation_foreign_deported,208
43,43_poverty_child_chances_children,206
44,44_bulk_privacy_powers_judicial,205
45,45_hospital_nhs_ae_hospitals,205
46,46_care_social_precept_adult,202
47,47_fire_rescue_firefighters_service,179
48,48_friend_hon_member_friends,177
49,49_nato_defence_natos_baltic,168
50,50_frigates_clyde_type_shipbuilding,167
51,51_electoral_register_registration_vote,165
52,52_veterans_covenant_armed_forces,164
53,53_russia_russian_putin_ukraine,164
54,54_autism_autistic_diagnosis_spectrum,161
55,55_give_way_friend_hon,156
56,56_oil_gas_sea_industry,156
57,57_libya_libyan_gaddafi_tripoli,155
58,58_dog_animal_dogs_animals,155
59,59_stillbirth_baby_babies_bereavement,153
60,60_air_diesel_pollution_quality,150
61,61_lords_peers_hereditary_elected,147
62,62_obesity_sugar_drinks_childhood,143
