year,num_topics,training_time,coherence,baseline_coherence,coherence_delta,coherence_calc_time
2010,470,213.38051629066467,,,,
2011,542,234.07823753356934,,,,
2012,495,212.1828544139862,,,,
2013,507,231.02263951301575,,,,
2014,518,183.93834376335144,,,,
2015,472,164.79937601089478,,,,
2016,535,201.17311143875122,,,,
2017,558,209.95765590667725,,,,
2018,628,266.9247627258301,,,,
2019,538,222.05525612831116,,,,
2010-2019_merged,770,2.4454777240753174,0.5968963929492234,0.5680562222827718,0.028840170666451614,1059.2187876701355
