topic_id,topic_name,coherence_score,size,top_words,word_weights
-1,-1_hon_right_government_would,0.0,350601,"hon, right, government, would, friend, gentleman, house, member, minister, bill","0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002, 0.002"
0,0_schools_school_children_education,0.8317807338745533,18217,"schools, school, children, education, parents, child, students, academies, teachers, academy","0.013, 0.010, 0.009, 0.009, 0.007, 0.007, 0.007, 0.006, 0.005, 0.005"
1,1_nhs_hospital_patients_care,0.8902915668357444,12137,"nhs, hospital, patients, care, health, patient, gps, commissioning, gp, hospitals","0.018, 0.013, 0.013, 0.013, 0.012, 0.010, 0.009, 0.008, 0.007, 0.007"
4,4_housing_rents_tenants_benefit,0.8578635125382224,12090,"housing, rents, tenants, benefit, rent, homes, landlords, rented, social, affordable","0.032, 0.014, 0.013, 0.012, 0.012, 0.012, 0.012, 0.009, 0.008, 0.007"
2,2_rail_trains_train_line,0.8612077843193177,10133,"rail, trains, train, line, network, speed, highspeed, franchise, london, passengers","0.027, 0.018, 0.014, 0.013, 0.012, 0.010, 0.010, 0.010, 0.010, 0.009"
6,6_energy_gas_carbon_storage,0.9139045427398738,9278,"energy, gas, carbon, storage, coal, electricity, emissions, ccs, fuel, capture","0.029, 0.021, 0.017, 0.014, 0.013, 0.011, 0.011, 0.011, 0.010, 0.009"
55,55_northern_ireland_devolution_peace,0.6468108006069853,8822,"northern, ireland, devolution, peace, agreement, unionist, justice, policing, assembly, parties","0.043, 0.041, 0.024, 0.013, 0.013, 0.012, 0.010, 0.010, 0.010, 0.008"
296,296_treaty_paragraph_european_eu,0.5450020515480246,8488,"treaty, paragraph, european, eu, taskforce, article, europe, eurozone, uniona, transitional","0.045, 0.027, 0.024, 0.023, 0.023, 0.019, 0.017, 0.017, 0.017, 0.015"
3,3_police_policing_officers_crime,0.865002861933234,6881,"police, policing, officers, crime, commissioners, constables, forces, pcsos, constable, chief","0.035, 0.020, 0.018, 0.014, 0.008, 0.007, 0.007, 0.007, 0.007, 0.006"
41,41_scottish_scotland_devolution_parliament,0.7513292259748529,6849,"scottish, scotland, devolution, parliament, calman, settlement, kingdom, scots, snp, powers","0.075, 0.048, 0.017, 0.016, 0.010, 0.009, 0.008, 0.006, 0.006, 0.006"
12,12_prison_prisoners_offenders_sentences,0.9210744797705518,5725,"prison, prisoners, offenders, sentences, reoffending, sentencing, justice, sentence, rehabilitation, prisons","0.049, 0.030, 0.027, 0.024, 0.020, 0.017, 0.015, 0.015, 0.015, 0.014"
7,7_speaker_order_mr_point,0.5394146564069792,5499,"speaker, order, mr, point, deputy, madam, house, statement, questions, yesterday","0.041, 0.035, 0.019, 0.015, 0.015, 0.010, 0.009, 0.008, 0.008, 0.005"
15,15_pension_pensioners_pensions_retirement,0.832921885371715,5256,"pension, pensioners, pensions, retirement, age, earnings, basic, pensioner, cpi, rpi","0.054, 0.026, 0.022, 0.018, 0.018, 0.014, 0.011, 0.011, 0.009, 0.007"
9,9_immigration_migration_detention_asylum,0.7618202263935011,4795,"immigration, migration, detention, asylum, yarls, immigrants, border, net, wood, migrants","0.035, 0.016, 0.015, 0.013, 0.010, 0.009, 0.009, 0.008, 0.008, 0.007"
158,158_iraq_christians_iraqi_kurdistan,0.8802240833677735,4596,"iraq, christians, iraqi, kurdistan, kurdish, christian, persecution, baghdad, religious, minorities","0.077, 0.054, 0.047, 0.043, 0.031, 0.026, 0.020, 0.019, 0.018, 0.017"
14,14_gaza_israel_israeli_hamas,0.9374060998685894,4160,"gaza, israel, israeli, hamas, blockade, palestinian, israelis, palestinians, peace, international","0.048, 0.044, 0.028, 0.024, 0.015, 0.014, 0.013, 0.011, 0.011, 0.010"
32,32_dairy_farmers_farming_food,0.8998373890168118,4064,"dairy, farmers, farming, food, livestock, milk, production, soya, cows, agricultural","0.040, 0.036, 0.028, 0.025, 0.019, 0.018, 0.016, 0.011, 0.010, 0.010"
58,58_disabled_disability_disabilities_dla,0.7386177047883786,3808,"disabled, disability, disabilities, dla, living, mobility, allowance, residential, people, employment","0.068, 0.051, 0.023, 0.018, 0.017, 0.016, 0.016, 0.013, 0.011, 0.010"
96,96_banks_banking_bank_regulation,0.7823070952376835,3801,"banks, banking, bank, regulation, financial, derivatives, basel, crisis, markets, regulatory","0.032, 0.031, 0.021, 0.016, 0.016, 0.015, 0.012, 0.012, 0.012, 0.010"
17,17_apprenticeships_apprenticeship_skills_training,0.8536130304236671,3656,"apprenticeships, apprenticeship, skills, training, apprentices, young, employers, apprentice, colleges, learning","0.057, 0.029, 0.016, 0.016, 0.015, 0.012, 0.011, 0.008, 0.007, 0.006"
47,47_tax_avoidance_evasion_corporation,0.7597348950043217,3546,"tax, avoidance, evasion, corporation, simplification, customs, revenue, hmrc, gap, rate","0.060, 0.056, 0.030, 0.023, 0.018, 0.013, 0.012, 0.011, 0.011, 0.010"
